Time,Data1,Data2
0.01,0.0,0.0
0.16,-0.07,0.16
0.32,0.11,-1.03
0.46,1.01,-6.73
0.61,0.25,-7.91
0.75,-2.09,-1.36
0.89,-3.53,6.75
1.02,-0.79,3.06
1.16,3.53,-5.99
1.3,5.08,-12.42
1.44,1.62,-8.33
1.59,-4.1,0.79
1.74,-6.8,9.39
1.88,-3.17,6.94
2.01,3.13,-1.22
2.16,7.81,-9.77
2.29,6.41,-10.78
2.42,-0.11,-3.27
2.56,-7.31,6.34
2.71,-9.4,13.55
2.86,-2.34,5.94
3.0,5.65,-2.85
3.14,10.51,-11.5
3.27,7.34,-10.4
3.41,-1.98,-1.55
3.55,-9.72,7.24
3.69,-11.52,13.83
3.83,-3.6,6.47
3.97,6.23,-2.52
4.12,12.82,-11.94
4.27,8.53,-10.27
4.41,-2.59,-1.31
4.55,-12.17,8.12
4.69,-13.68,13.92
4.83,-4.64,6.31
4.96,6.8,-2.84
5.11,14.58,-11.6
5.25,11.48,-11.63
5.38,0.54,-3.83
5.53,-11.74,6.07
5.66,-16.2,13.44
5.8,-9.14,9.42
5.94,4.75,-0.34
6.09,15.66,-10.81
6.23,15.26,-14.23
6.39,1.8,-5.06
6.55,-13.54,6.65
6.69,-18.86,17.38
6.83,-9.58,11.81
6.96,5.26,2.61
7.11,18.61,-11.46
7.24,19.98,-21.69
7.39,6.08,-13.65
7.52,-10.94,-3.52
7.67,-24.16,16.9
7.8,-22.18,31.95
7.94,-2.7,24.05
8.07,18.36,9.44
8.22,32.29,-21.66
8.37,22.46,-32.75
8.51,-5.4,-20.92
8.66,-34.2,13.22
8.8,-42.98,54.4
8.93,-24.19,57.57
9.08,14.47,37.54
9.21,45.04,-1.2
9.33,55.33,-41.59
9.49,29.81,-48.0
9.64,-18.25,-25.99
9.78,-59.26,26.18
9.94,-67.86,75.67
10.08,-35.71,69.66
10.23,23.8,35.1
10.38,70.63,-20.51
10.52,81.79,-66.97
10.68,49.5,-63.13
10.82,-9.32,-35.94
10.95,-66.64,18.75
11.09,-95.47,74.21
11.23,-88.63,82.5
11.39,-37.8,67.87
11.55,42.05,17.7
11.69,95.04,-40.44
11.85,109.8,-65.27
12.01,81.14,-64.81
12.16,13.54,-50.53
12.32,-72.36,4.42
12.46,-117.72,60.44
12.61,-132.41,70.35
12.76,-115.63,67.49
12.91,-62.75,64.68
13.06,23.04,42.8
13.2,94.5,3.41
13.34,132.52,-41.66
13.48,147.56,-43.26
13.62,143.6,-39.98
13.76,115.02,-39.99
13.91,50.44,-35.51
14.07,-46.69,-18.57
14.22,-114.16,32.54
14.36,-147.96,70.22
14.5,-169.24,66.3
14.54,-172.76,64.87
14.69,-173.77,118.48
14.84,-173.48,155.33
14.97,-175.03,158.64
15.11,-176.22,147.87
15.25,-177.95,122.34
15.4,-179.71,87.93
15.55,-180.83,55.71
15.69,-181.3,31.31
15.83,-181.3,13.43
15.96,-181.12,0.66
16.1,-180.79,-7.69
16.26,-180.61,-15.33
16.41,-180.36,-20.0
16.57,-180.25,-24.29
16.71,-180.11,-27.38
16.85,-180.04,-29.9
17.0,-180.07,-33.09
17.15,-180.36,-36.61
17.29,-180.5,-38.32
17.42,-180.72,-38.89
17.57,-180.79,-36.34
17.73,-180.9,-30.83
17.88,-180.5,-19.45
18.02,-179.89,-6.01
18.15,-179.46,6.49
18.29,-179.35,15.8
18.43,-179.64,21.04
18.58,-179.6,27.03
18.73,-179.64,31.58
18.87,-179.68,35.01
19.03,-179.42,38.42
19.18,-179.39,38.39
19.32,-179.32,36.72
19.46,-179.28,32.44
19.59,-179.53,24.5
19.73,-179.71,15.49
19.89,-180.22,2.53
20.04,-180.25,-6.57
20.2,-180.4,-15.89
20.35,-180.22,-21.45
20.48,-180.14,-26.0
20.62,-180.4,-31.64
20.76,-180.4,-34.24
20.9,-180.58,-36.45
21.05,-180.76,-36.64
21.2,-180.68,-33.04
21.36,-180.61,-26.48
21.51,-180.22,-16.07
21.65,-179.86,-5.5
21.79,-179.64,3.7
21.92,-179.64,11.2
22.07,-179.86,16.95
22.22,-179.68,24.16
22.36,-179.39,30.15
22.51,-179.6,32.67
22.66,-179.46,35.22
22.81,-179.42,35.42
22.95,-179.32,34.14
23.1,-179.42,29.38
23.25,-179.28,23.25
23.38,-179.71,12.5
23.52,-180.18,0.67
23.66,-180.54,-10.14
23.8,-180.32,-16.29
23.94,-180.25,-21.93
24.09,-180.22,-27.49
24.24,-180.22,-31.93
24.39,-180.14,-35.3
24.54,-180.22,-38.49
24.7,-180.43,-41.47
24.84,-180.61,-42.04
24.98,-180.76,-40.76
25.12,-180.72,-36.03
25.26,-180.68,-29.06
25.39,-180.18,-17.54
25.54,-179.82,-4.71
25.68,-179.68,5.19
25.82,-179.53,14.68
25.97,-179.64,21.74
26.13,-179.53,28.54
26.27,-179.57,32.91
26.41,-179.5,36.05
26.56,-179.46,37.28
26.71,-179.35,37.01
26.84,-179.32,34.58
26.98,-179.1,31.07
27.12,-179.46,22.27
27.28,-179.93,9.4
27.43,-180.11,-1.36
27.58,-180.5,-12.63
27.71,-180.36,-18.84
27.85,-180.32,-24.26
27.99,-180.25,-28.33
28.13,-180.29,-32.04
28.28,-180.32,-35.06
28.41,-180.54,-37.38
28.55,-180.68,-37.4
28.7,-180.79,-35.1
28.86,-180.76,-29.38
29.01,-180.47,-20.08
29.05,-180.36,-16.68
29.22,-179.75,-2.07
29.37,-179.71,7.83
29.5,-179.32,18.1
29.64,-179.39,24.02
29.78,-179.39,28.02
29.92,-179.6,29.3
30.06,-179.57,30.76
30.22,-179.39,30.99
30.37,-179.35,28.52
30.51,-179.32,24.34
30.65,-179.53,16.53
30.78,-179.93,6.34
30.92,-180.22,-3.25
31.07,-180.43,-12.39
31.21,-180.25,-17.32
31.35,-180.4,-23.15
31.49,-180.22,-26.36
31.65,-180.25,-29.74
31.8,-180.36,-32.16
31.94,-180.43,-33.2
32.08,-180.5,-32.91
32.21,-180.65,-31.36
32.36,-180.61,-26.97
32.51,-180.65,-20.19
32.65,-180.22,-9.53
32.79,-179.78,1.97
32.92,-179.57,12.24
33.06,-179.1,22.45
33.22,-179.53,26.6
33.37,-179.75,29.56
33.52,-179.86,32.57
33.66,-179.82,35.7
33.8,-179.82,37.96
33.96,-179.6,41.1
34.11,-179.57,41.93
34.25,-179.39,41.82
34.38,-179.32,39.4
34.53,-179.1,34.59
34.67,-179.53,24.16
34.81,-180.0,11.79
