Time,Data1,Data2
0.01,0.0,0.0
0.15,0.18,-0.74
0.31,1.19,-6.89
0.44,1.37,-12.4
0.58,-1.58,-5.8
0.71,-3.78,2.29
0.86,-2.59,4.61
0.99,2.23,-5.13
1.12,5.69,-14.28
1.26,4.54,-16.98
1.4,-0.94,-10.06
1.54,-6.48,-0.91
1.67,-7.85,6.84
1.82,-1.76,-0.24
1.97,6.52,-11.26
2.11,9.61,-19.74
2.26,4.36,-16.05
2.4,-4.57,-7.53
2.55,-10.66,1.59
2.69,-8.5,2.95
2.83,1.22,-7.31
2.97,9.43,-16.18
3.11,12.06,-23.57
3.24,5.11,-16.18
3.39,-5.65,-6.91
3.53,-12.71,2.16
3.67,-10.33,4.04
3.82,0.65,-5.46
3.97,11.84,-15.93
4.12,13.82,-22.19
4.26,4.57,-14.55
4.4,-7.85,-5.5
4.55,-15.12,3.3
4.69,-11.27,3.65
4.82,0.4,-5.26
4.97,12.64,-15.14
5.1,16.56,-22.64
5.23,9.36,-17.56
5.37,-4.68,-8.48
5.52,-15.7,0.7
5.66,-15.98,5.86
5.81,-3.67,-3.17
5.95,11.16,-13.47
6.09,18.5,-21.85
6.24,12.17,-19.07
6.38,-3.06,-10.11
6.53,-16.45,-0.1
6.66,-19.33,7.56
6.8,-7.88,-1.51
6.94,7.63,-11.58
7.09,19.66,-21.71
7.24,16.56,-22.98
7.38,1.15,-14.34
7.51,-14.18,-4.84
7.66,-22.54,9.24
7.8,-14.04,7.93
7.95,5.0,-2.72
8.09,21.71,-18.15
8.22,25.02,-32.67
8.37,9.86,-25.68
8.5,-10.69,-15.25
8.65,-28.44,8.65
8.79,-27.58,29.66
8.94,-4.64,20.24
9.08,23.51,-0.67
9.22,38.92,-34.61
9.37,28.69,-48.6
9.51,-3.67,-35.55
9.65,-36.29,-1.84
9.79,-50.33,40.49
9.93,-31.68,47.44
10.07,6.19,33.57
10.22,49.18,-11.87
10.37,61.7,-58.72
10.52,34.85,-56.48
10.67,-16.74,-34.85
10.82,-64.76,21.65
10.98,-73.26,65.75
11.12,-41.0,58.16
11.27,20.09,29.37
11.41,69.16,-22.51
11.54,88.6,-70.91
11.69,68.98,-72.77
11.83,17.03,-50.13
11.96,-46.66,-2.34
12.11,-92.2,57.41
12.24,-99.94,73.65
12.4,-67.14,70.85
12.55,2.95,47.87
12.7,77.26,-13.01
12.84,113.98,-61.33
13.0,117.65,-59.91
13.16,79.6,-59.04
13.31,2.38,-35.71
13.45,-76.61,9.84
13.6,-123.8,63.24
13.74,-143.46,69.14
13.9,-138.28,65.71
14.04,-105.26,65.59
14.19,-33.66,53.51
14.34,54.14,37.46
14.47,113.0,-12.22
14.51,124.7,-25.54
14.66,152.71,-43.47
14.8,164.74,-37.25
14.95,165.67,-31.74
15.08,156.78,-31.8
15.24,128.12,-32.2
15.39,62.96,-31.37
15.54,-30.13,-14.2
15.7,-107.96,22.4
15.85,-150.05,63.22
15.99,-173.74,66.57
16.13,-182.02,124.8
16.26,-190.19,181.69
16.4,-218.66,177.2
16.54,-276.91,137.98
16.68,-6.66,110.14
16.82,-92.66,86.22
16.96,-145.08,68.05
17.11,-177.55,55.55
17.27,-210.38,44.08
17.42,-261.72,37.32
17.55,-342.18,35.54
17.69,-70.16,30.19
17.83,-128.52,27.05
17.98,-160.67,24.23
18.13,-178.45,22.45
18.26,-193.64,21.01
18.41,-220.14,19.21
18.56,-273.17,18.2
18.7,-355.43,17.5
18.85,-84.35,15.85
19.01,-138.78,14.69
19.15,-160.45,14.21
19.3,-167.69,14.0
19.45,-165.82,13.41
19.59,-154.87,12.69
19.72,-128.23,12.4
19.87,-68.51,11.82
20.02,-336.35,10.83
20.16,-262.4,10.93
20.3,-221.94,10.69
20.44,-205.85,10.19
20.57,-205.81,10.11
20.71,-221.83,10.05
20.86,-266.4,9.87
21.0,-341.68,9.84
21.13,-65.38,9.44
21.27,-120.28,9.21
21.41,-144.68,9.28
21.55,-147.85,9.34
21.71,-126.97,9.26
21.86,-72.25,8.83
22.01,-343.94,-8.46
22.15,-268.56,-36.4
22.29,-222.8,-83.64
22.45,-195.26,-84.79
22.6,-187.6,-115.94
22.75,-187.2,-152.26
22.9,-185.4,-154.12
23.05,-183.31,-134.57
23.19,-181.3,-104.46
23.33,-179.68,-71.75
23.47,-178.81,-43.77
23.61,-178.49,-21.71
23.74,-178.81,-7.61
23.89,-179.03,4.13
24.03,-179.17,11.94
24.19,-179.68,16.34
24.34,-179.96,20.43
24.48,-180.07,25.12
24.63,-179.68,32.96
24.77,-179.82,37.12
24.92,-179.6,42.62
25.06,-179.82,45.17
25.2,-179.75,48.5
25.34,-179.86,50.52
25.48,-179.68,53.61
25.63,-179.68,55.1
25.76,-179.35,57.07
25.9,-179.24,56.3
26.05,-179.21,52.95
26.2,-178.96,47.43
26.35,-179.5,34.78
26.49,-179.93,20.88
26.63,-180.22,8.51
26.77,-180.4,-2.47
26.91,-180.76,-12.91
27.05,-180.43,-17.53
27.18,-180.36,-21.81
27.32,-180.25,-24.8
27.47,-180.32,-27.81
27.61,-180.32,-29.29
27.75,-180.4,-29.77
27.89,-180.54,-28.98
28.05,-180.79,-26.04
28.21,-180.61,-17.46
28.36,-180.07,-5.18
28.52,-179.39,8.97
28.67,-179.6,15.93
28.81,-179.82,21.39
28.96,-179.68,27.81
29.01,-179.64,29.4
29.16,-179.89,33.09
29.3,-179.82,37.09
29.44,-179.6,41.69
29.58,-179.53,44.21
29.71,-179.57,45.1
29.85,-179.32,46.13
30.0,-179.1,44.51
30.14,-179.14,39.38
30.28,-179.35,30.84
30.41,-179.64,20.22
30.56,-180.07,7.4
30.7,-180.36,-3.78
30.84,-180.4,-12.56
30.99,-180.54,-20.46
31.13,-180.43,-25.14
31.29,-180.29,-28.34
31.44,-180.22,-30.51
31.58,-180.18,-31.63
31.73,-180.43,-33.01
31.87,-180.65,-32.52
32.01,-180.79,-29.35
32.15,-180.65,-22.09
32.29,-180.25,-11.34
