Time,Data1,Data2
0.01,-0.04,0.0
0.15,0.04,-0.4
0.3,0.07,-0.7
0.46,0.32,-2.08
0.61,1.15,-7.64
0.77,0.47,-9.6
0.92,-2.3,-2.02
1.07,-3.42,5.69
1.21,0.32,-1.09
1.34,3.89,-8.51
1.48,5.11,-15.33
1.63,0.72,-8.8
1.76,-4.03,-1.17
1.9,-6.52,6.68
2.05,-2.52,2.18
2.19,3.92,-6.47
2.33,7.6,-13.78
2.49,4.21,-10.98
2.65,-3.46,-1.99
2.79,-8.21,6.06
2.93,-6.23,6.55
3.08,1.33,-1.59
3.21,7.6,-8.67
3.35,9.4,-14.69
3.49,3.1,-8.48
3.63,-4.86,-1.11
3.78,-10.37,7.16
3.94,-6.3,5.18
4.08,2.95,-2.9
4.22,10.19,-10.24
4.37,10.33,-13.97
4.51,1.91,-6.73
4.66,-7.81,1.51
4.79,-12.2,8.22
4.93,-7.7,5.78
5.07,2.81,-2.37
5.22,11.41,-9.77
5.36,12.17,-13.88
5.52,2.41,-6.65
5.66,-8.6,1.51
5.8,-13.86,8.8
5.94,-9.22,6.39
6.08,2.41,-1.92
6.24,12.85,-9.85
6.38,13.54,-13.62
6.52,3.49,-5.21
6.67,-8.71,3.32
6.82,-15.08,11.12
6.98,-8.28,7.5
7.13,5.65,-1.47
7.28,14.9,-9.15
7.42,13.68,-10.88
7.56,1.91,-2.34
7.71,-10.98,6.15
7.85,-16.56,13.49
8.0,-9.5,8.73
8.13,3.17,0.77
8.27,14.9,-8.46
8.4,17.1,-14.87
8.55,6.84,-8.25
8.69,-8.14,0.4
8.82,-17.82,10.98
8.97,-16.27,16.33
9.11,-2.02,8.28
9.26,14.08,-2.69
9.41,22.43,-21.6
9.56,12.28,-20.36
9.7,-7.2,-10.7
9.85,-24.23,10.96
10.0,-26.86,40.17
10.13,-9.14,35.81
10.27,17.82,18.78
10.41,36.43,-16.6
10.55,34.49,-47.63
10.68,8.96,-41.27
10.84,-31.25,-8.33
10.99,-51.44,42.59
11.15,-33.34,59.67
11.3,11.05,37.44
11.46,54.5,-14.93
11.61,63.61,-63.11
11.75,32.36,-56.03
11.91,-24.7,-20.01
12.05,-68.29,36.15
12.19,-76.68,82.08
12.33,-45.54,75.51
12.46,6.48,46.53
12.61,64.87,-9.55
12.76,89.64,-65.56
12.91,71.24,-75.69
13.05,18.86,-48.03
13.2,-51.12,7.18
13.34,-93.31,65.69
13.49,-97.02,85.03
13.63,-61.67,75.91
13.78,5.47,41.19
13.91,70.88,-12.18
14.05,107.24,-63.88
14.2,108.94,-68.94
14.34,73.26,-66.46
14.48,4.32,-42.06
14.63,-73.48,9.61
14.67,-90.07,26.81
14.81,-123.34,72.07
14.97,-128.74,70.1
15.13,-96.84,69.98
15.27,-26.64,60.05
15.43,61.2,30.73
15.57,118.4,-23.55
15.72,144.32,-50.02
15.86,149.65,-45.42
16.02,130.82,-45.73
16.17,82.19,-45.45
16.3,3.02,-29.26
16.44,-76.14,-10.8
16.59,-130.21,44.4
16.73,-158.72,68.53
16.89,-174.53,79.71
17.04,-174.1,142.64
17.19,-173.02,186.21
17.35,-174.6,191.21
17.5,-175.93,175.81
17.64,-178.06,144.01
17.78,-179.82,107.67
17.92,-180.9,74.65
18.06,-181.33,48.39
18.2,-181.3,29.3
18.35,-181.08,14.8
18.5,-180.43,6.22
18.65,-180.25,-1.12
18.79,-180.0,-6.06
18.93,-179.93,-11.2
19.06,-180.07,-17.3
19.21,-179.96,-21.84
19.36,-180.25,-27.62
19.5,-180.25,-30.73
19.65,-180.32,-33.01
19.79,-180.47,-34.26
19.94,-180.65,-33.21
20.09,-180.68,-28.65
20.23,-180.58,-20.96
20.37,-180.11,-9.08
20.51,-179.64,3.65
20.64,-179.32,15.24
20.79,-179.35,24.0
20.93,-179.71,29.1
21.07,-179.28,36.67
21.21,-179.5,40.01
21.37,-179.21,44.01
21.52,-179.24,43.98
21.66,-179.21,42.25
21.8,-179.1,38.79
21.94,-179.17,31.24
22.09,-179.75,18.81
22.23,-180.11,7.42
22.37,-180.43,-3.04
22.51,-180.4,-9.6
22.65,-180.07,-13.89
22.79,-179.96,-17.67
22.93,-179.86,-21.15
23.08,-179.93,-25.38
23.24,-180.07,-29.62
23.39,-180.18,-33.02
23.53,-180.25,-34.75
23.67,-180.43,-35.92
23.81,-180.65,-35.44
23.96,-180.72,-31.4
24.1,-180.5,-22.56
24.26,-179.96,-8.7
24.41,-179.6,4.07
24.57,-179.24,17.18
24.72,-179.39,25.14
24.86,-179.53,30.75
24.99,-179.6,35.76
25.13,-179.35,41.82
25.27,-179.35,45.34
25.42,-179.28,47.25
25.56,-179.14,47.54
25.71,-179.14,44.57
25.85,-178.99,40.02
25.99,-179.32,30.44
26.13,-179.86,18.06
26.27,-180.25,6.26
26.41,-180.36,-3.48
26.56,-180.25,-9.84
26.7,-180.04,-13.91
26.84,-179.89,-17.72
26.97,-179.93,-22.06
27.12,-179.96,-26.32
27.26,-180.22,-31.0
27.41,-180.18,-33.15
27.56,-180.36,-35.17
27.71,-180.58,-35.09
27.85,-180.86,-33.18
28.0,-180.65,-25.2
28.15,-180.54,-14.66
28.29,-179.75,0.05
28.42,-179.46,12.48
28.57,-179.1,25.09
28.71,-179.32,31.28
28.87,-179.64,36.32
29.02,-179.46,42.22
29.15,-179.46,45.86
29.19,-179.53,46.26
29.35,-179.57,48.51
29.49,-179.28,51.08
29.64,-179.14,50.63
29.79,-178.96,47.86
29.93,-179.03,41.27
30.06,-179.39,30.38
30.21,-179.93,16.58
30.36,-180.32,3.24
30.5,-180.29,-5.35
30.64,-180.36,-13.04
30.78,-180.29,-18.83
30.92,-180.18,-23.14
31.06,-180.11,-26.48
31.21,-180.18,-29.83
31.37,-180.32,-32.4
31.52,-180.4,-32.8
31.65,-180.65,-32.16
31.79,-180.79,-28.6
31.93,-180.58,-20.24
32.07,-180.11,-8.28
32.21,-179.64,5.16
32.35,-179.32,16.92
32.49,-179.32,25.31
32.63,-179.5,31.2
32.77,-179.53,36.87
32.91,-179.6,41.71
33.05,-179.71,45.29
33.19,-179.82,48.07
33.34,-179.5,52.79
33.48,-179.42,54.81
33.62,-179.32,55.84
33.77,-179.1,55.08
33.92,-178.92,51.41
34.06,-179.06,42.78
34.19,-179.6,30.2
34.33,-180.04,16.86
34.47,-180.36,4.53
34.61,-180.47,-5.0
34.75,-180.25,-11.71
34.89,-180.14,-16.74
35.04,-180.18,-21.76
35.2,-180.11,-25.2
35.35,-180.11,-27.51
35.49,-180.32,-29.8
35.63,-180.5,-30.27
35.78,-180.68,-28.41
35.92,-180.25,-21.58
36.06,-180.14,-13.8
36.19,-179.78,-4.93
36.33,-179.78,2.2
36.47,-180.04,8.46
36.61,-179.71,17.9
36.77,-179.46,27.43
36.93,-179.42,34.22
37.07,-179.57,38.52
37.23,-179.68,41.77
37.38,-179.82,44.03
37.52,-179.57,48.15
37.65,-179.57,50.23
37.8,-179.32,52.06
37.95,-179.1,51.88
38.09,-178.96,48.87
38.23,-179.03,41.74
38.39,-179.5,28.87
38.53,-180.0,15.09
38.69,-180.43,1.49
38.84,-180.47,-7.02
38.99,-180.07,-11.52
39.14,-180.04,-17.03
39.29,-180.07,-22.22
39.42,-180.25,-26.74
39.56,-180.36,-29.99
39.71,-180.4,-31.37
39.85,-180.58,-31.29
39.98,-180.79,-29.54
40.12,-180.68,-23.38
40.26,-180.29,-12.59
40.4,-179.86,-0.37
40.56,-179.57,12.67
40.7,-179.53,22.9
40.86,-179.39,32.67
41.01,-179.46,38.79
41.15,-179.39,43.4
41.29,-179.53,46.06
41.42,-179.5,48.74
41.57,-179.42,50.53
41.71,-179.35,50.82
41.85,-179.21,49.86
41.99,-178.96,46.99
42.15,-179.14,38.39
42.3,-179.68,25.52
42.46,-179.93,12.29
42.62,-180.32,-0.77
42.77,-180.4,-9.81
42.93,-180.07,-15.45
43.08,-180.07,-21.57
43.23,-180.11,-26.69
43.39,-180.11,-31.03
43.54,-180.36,-35.04
43.68,-180.47,-36.82
43.72,-180.5,-36.96
43.87,-180.68,-36.02
44.02,-180.76,-31.63
44.15,-180.58,-23.54
44.29,-180.11,-11.28
44.43,-179.6,1.86
44.57,-179.28,14.04
44.73,-179.39,23.58
44.88,-179.5,30.87
45.03,-179.53,36.5
45.19,-179.75,40.9
45.34,-179.35,47.38
45.48,-179.53,49.32
45.61,-179.68,50.76
45.76,-179.39,53.43
45.91,-179.21,54.12
46.05,-179.06,53.05
46.19,-178.99,48.9
46.32,-179.06,41.02
46.46,-179.53,28.92
46.62,-180.22,13.07
46.77,-180.5,0.87
46.91,-180.29,-5.66
47.05,-180.07,-11.58
47.2,-180.14,-17.7
47.34,-180.07,-21.37
47.48,-180.04,-24.85
47.62,-179.93,-27.29
47.75,-180.0,-30.31
47.91,-179.96,-32.7
48.06,-180.07,-34.91
48.22,-180.54,-38.18
48.37,-180.65,-37.3
48.5,-180.72,-33.76
48.64,-180.58,-26.16
48.78,-180.22,-14.92
48.92,-179.78,-2.42
49.06,-179.5,9.66
49.19,-179.28,20.25
49.34,-179.39,27.93
49.49,-179.42,34.51
49.64,-179.57,38.97
49.78,-179.78,42.19
49.93,-179.57,46.75
50.09,-179.5,50.23
50.24,-179.35,52.39
50.38,-179.17,53.0
50.52,-179.03,51.05
50.65,-178.85,47.33
50.8,-179.21,36.75
50.95,-179.86,22.27
51.11,-180.25,7.95
51.26,-180.5,-3.3
51.41,-180.25,-10.08
51.56,-180.04,-14.92
51.7,-180.14,-20.22
51.84,-179.96,-23.36
51.97,-180.04,-27.11
52.11,-179.93,-29.38
52.25,-180.11,-32.97
52.4,-180.07,-35.25
52.55,-180.14,-37.4
52.7,-180.29,-38.73
52.85,-180.58,-38.98
53.0,-180.86,-36.58
53.14,-180.65,-28.98
53.28,-180.32,-17.98
53.41,-179.68,-4.02
53.55,-179.42,7.83
53.71,-179.39,18.76
53.87,-179.53,26.72
54.02,-179.32,34.22
54.17,-179.46,38.45
54.31,-179.42,42.12
54.46,-179.39,43.98
54.6,-179.35,44.12
54.74,-179.21,43.29
54.9,-179.24,38.76
55.03,-179.17,32.62
55.17,-179.6,22.29
55.31,-179.96,10.81
55.46,-180.29,-0.69
55.61,-180.32,-9.16
55.75,-180.07,-14.8
55.91,-180.29,-22.13
56.06,-180.14,-25.68
56.2,-180.32,-29.53
56.35,-180.4,-31.8
56.49,-180.5,-32.12
56.63,-180.61,-30.73
56.77,-180.65,-26.29
56.91,-180.54,-18.62
57.06,-179.93,-5.56
57.19,-179.78,4.71
57.34,-179.42,16.53
