Time,Data1,Data2
0.01,-0.04,0.0
0.15,0.76,-2.36
0.3,1.73,-7.8
0.44,0.86,-9.1
0.58,-2.12,-1.01
0.73,-3.78,7.93
0.87,-0.29,3.04
1.01,4.32,-6.31
1.16,5.98,-13.92
1.29,1.84,-7.67
1.43,-4.14,1.78
1.59,-7.16,11.17
1.72,-3.35,8.09
1.86,3.82,-0.54
2.01,8.64,-8.94
2.15,6.66,-9.76
2.29,-1.12,-1.67
2.45,-8.53,8.03
2.61,-8.5,12.63
2.76,0.36,3.8
2.9,8.68,-4.98
3.05,11.27,-12.26
3.18,5.18,-6.36
3.32,-4.9,2.85
3.47,-11.48,11.34
3.6,-9.76,12.45
3.74,0.04,3.06
3.89,9.86,-6.07
4.03,13.1,-13.14
4.19,5.08,-6.86
4.32,-5.51,1.39
4.46,-13.18,10.14
4.59,-11.56,11.63
4.74,-0.79,2.6
4.88,10.62,-6.71
5.01,15.05,-13.83
5.16,8.78,-10.0
5.3,-3.89,-1.25
5.45,-14.22,9.4
5.6,-14.0,15.94
5.76,-0.61,6.78
5.91,13.86,-5.22
6.06,18.97,-19.72
6.2,9.0,-15.73
6.33,-6.19,-7.5
6.48,-20.09,10.14
6.61,-22.72,33.57
6.76,-6.3,26.6
6.89,14.83,9.58
7.03,30.85,-23.6
7.17,27.43,-49.89
7.31,3.53,-40.74
7.45,-26.6,-10.06
7.6,-45.14,41.91
7.73,-33.48,64.62
7.88,5.87,43.68
8.02,45.22,-3.0
8.17,59.87,-55.47
8.32,34.7,-56.97
8.46,-13.03,-27.89
8.6,-59.26,28.97
8.74,-73.26,80.83
8.88,-51.08,84.28
9.02,1.12,53.91
9.16,59.15,-3.2
9.29,84.56,-53.66
9.44,74.45,-76.68
9.58,29.27,-53.5
9.71,-32.44,-8.86
9.87,-86.11,56.77
10.02,-94.68,88.51
10.19,-54.43,74.55
10.35,20.63,30.03
10.49,82.73,-28.13
10.63,106.52,-69.6
10.78,95.8,-69.1
10.91,50.94,-59.71
11.05,-18.86,-22.56
11.21,-93.28,44.43
11.35,-120.78,84.81
11.48,-121.14,81.41
11.62,-88.45,81.04
11.76,-21.67,59.6
11.9,58.68,22.41
12.05,114.16,-32.49
12.21,137.41,-54.44
12.37,130.03,-51.33
12.52,85.97,-51.41
12.67,3.28,-28.7
12.83,-81.97,5.18
12.97,-130.03,58.53
13.12,-153.61,71.7
13.26,-161.78,64.73
13.42,-155.27,62.71
13.56,-131.65,62.63
13.71,-78.37,61.7
13.84,2.59,46.5
13.98,79.31,36.02
14.12,131.18,-14.15
14.27,157.82,-36.67
14.43,172.87,-35.33
14.58,174.42,-61.67
14.62,175.25,-62.98
14.78,176.9,-62.87
14.93,178.02,-52.01
15.07,179.32,-33.09
15.22,180.47,-10.56
15.37,181.08,8.54
15.51,181.19,21.76
15.64,180.86,30.04
15.78,180.86,37.41
15.92,180.58,42.01
16.07,180.43,46.4
16.2,180.65,51.66
16.35,180.5,54.76
16.51,180.47,57.52
16.66,180.61,59.99
16.79,180.58,60.74
16.94,180.9,62.07
17.09,181.08,60.72
17.23,181.33,57.04
17.37,181.01,47.12
17.5,180.43,33.63
17.64,179.93,19.61
17.78,179.64,7.55
17.94,179.6,-2.39
18.09,179.93,-7.69
18.22,180.18,-11.87
18.39,179.89,-18.95
18.53,179.89,-22.11
18.68,179.82,-24.61
18.83,179.68,-25.8
18.97,179.53,-25.04
19.12,179.28,-21.71
19.26,179.86,-12.24
19.4,179.96,-3.03
19.54,180.76,9.58
19.68,180.54,16.76
19.81,180.9,24.96
19.95,180.97,29.64
20.11,180.83,31.93
20.26,180.54,31.6
20.4,180.4,30.49
20.53,180.58,30.19
20.68,180.61,28.18
20.83,180.61,24.9
20.97,180.65,20.44
21.12,180.58,13.78
21.27,180.25,4.49
21.4,180.0,-3.91
21.54,179.86,-11.09
21.68,180.0,-15.61
21.82,180.11,-19.87
21.96,180.04,-24.0
22.1,180.22,-26.45
22.24,179.86,-31.26
22.38,179.6,-34.34
22.51,179.5,-34.96
22.67,179.32,-32.78
22.81,179.21,-27.69
22.97,179.71,-14.48
23.12,180.25,0.24
23.25,180.61,13.57
23.39,180.76,24.87
23.53,180.76,33.77
23.67,180.72,41.24
23.8,180.68,47.09
23.94,180.54,51.08
24.08,180.58,54.99
24.22,180.54,57.74
24.37,180.43,59.6
24.51,180.72,62.58
24.67,180.86,63.21
24.82,181.12,62.04
24.96,181.37,58.34
25.09,181.08,48.26
25.23,180.5,34.35
25.37,180.04,20.0
25.52,179.64,5.9
25.66,179.6,-3.35
25.8,179.86,-8.88
25.93,180.0,-13.62
26.07,179.93,-18.78
26.22,179.82,-23.26
26.36,179.78,-25.91
26.49,179.71,-27.64
26.64,179.64,-27.32
26.79,179.39,-25.65
26.93,179.39,-19.76
27.06,180.11,-8.24
27.21,180.07,1.43
27.35,180.5,13.59
27.49,180.79,24.35
27.63,180.72,31.85
27.76,180.68,37.59
27.9,180.76,42.86
28.04,180.72,46.22
28.18,180.9,49.24
28.32,180.79,48.98
28.47,180.9,47.89
28.63,180.97,44.27
28.78,181.04,38.13
28.92,180.54,27.29
28.95,180.5,24.85
29.11,179.86,10.48
29.26,179.82,1.3
29.39,179.96,-4.82
29.53,179.93,-11.04
29.68,179.93,-16.28
29.83,179.93,-20.52
29.97,179.89,-23.3
30.1,179.93,-24.64
30.25,179.93,-25.09
30.39,179.71,-25.4
30.53,179.5,-24.23
30.66,179.28,-20.54
30.81,179.64,-10.37
30.97,180.14,3.93
31.13,180.61,18.75
31.28,180.97,31.02
31.42,180.9,38.45
31.55,180.68,43.31
31.69,180.61,47.78
31.83,180.61,51.62
31.97,180.58,54.25
32.11,180.5,56.01
32.25,180.65,57.7
32.39,180.79,58.13
32.54,180.9,57.02
32.69,180.9,52.81
32.84,180.94,46.4
32.98,180.72,36.91
33.12,180.32,25.36
33.26,180.07,14.24
33.39,179.68,2.77
33.54,179.64,-5.48
33.68,179.75,-10.35
33.82,179.86,-13.92
33.95,179.86,-16.63
34.09,179.82,-18.35
34.23,179.64,-18.95
34.39,179.57,-16.86
34.54,179.5,-11.82
34.7,180.0,-1.01
34.84,180.25,9.73
34.99,180.68,21.49
35.14,180.54,29.02
35.28,180.4,34.24
35.42,180.61,40.6
35.55,180.54,44.64
35.69,180.54,48.4
35.84,180.65,51.74
35.97,180.9,53.95
36.11,180.94,53.58
36.25,181.15,51.66
36.4,181.08,45.44
36.56,180.65,33.63
36.71,180.22,20.83
36.84,179.82,9.0
36.98,179.68,-0.34
37.13,179.82,-6.59
37.28,179.96,-11.6
37.43,180.04,-15.72
37.57,179.82,-20.2
37.71,179.6,-22.98
37.85,179.57,-22.99
37.99,179.5,-21.21
38.13,179.64,-15.41
38.26,180.29,-6.02
38.42,180.36,2.03
38.57,180.47,9.16
38.71,180.83,15.83
38.85,180.32,17.3
38.99,180.83,22.37
39.12,180.68,23.7
39.26,180.29,22.4
39.41,180.29,22.24
39.57,180.22,21.37
39.72,180.29,20.52
39.85,180.4,19.74
40.0,180.4,18.19
40.15,180.54,16.44
40.29,180.22,12.08
40.43,180.25,9.5
40.56,180.18,6.22
40.7,180.25,4.01
40.85,180.14,0.85
41.0,180.25,-0.88
41.13,180.07,-3.59
41.29,180.04,-5.3
41.44,179.96,-6.1
41.58,179.78,-6.25
41.72,179.93,-3.72
41.86,179.82,-0.93
42.01,179.75,3.52
42.15,179.93,10.9
42.29,180.32,20.36
42.42,180.65,29.0
42.56,180.47,34.22
42.7,180.43,39.64
42.86,180.61,45.81
43.02,180.5,49.51
43.17,180.65,53.07
43.32,180.65,54.72
43.36,180.72,55.23
43.5,180.83,55.37
43.64,180.94,53.61
43.78,181.12,50.29
43.93,181.01,42.19
44.08,180.5,29.87
44.21,180.11,17.59
44.36,179.68,4.68
44.51,179.75,-3.77
44.65,179.86,-9.05
44.8,180.11,-12.91
44.94,179.96,-17.74
45.08,179.93,-20.72
45.22,179.86,-22.96
45.36,179.64,-24.45
45.49,179.57,-23.55
45.65,179.42,-19.6
45.8,179.93,-10.19
