Time,Data1,Data2
0.01,0.04,0.0
0.14,-0.04,0.13
0.28,0.11,-0.46
0.42,0.47,-2.4
0.56,1.26,-8.44
0.7,1.37,-14.32
0.84,-2.05,-6.04
0.98,-4.28,3.35
1.13,-1.8,2.55
1.27,3.46,-7.08
1.43,6.59,-17.38
1.57,2.74,-14.0
1.71,-4.07,-4.09
1.85,-7.92,4.37
1.99,-5.33,3.64
2.12,1.87,-6.07
2.25,7.99,-15.4
2.4,9.11,-22.56
2.54,1.48,-13.25
2.7,-7.7,-2.6
2.85,-10.87,6.68
3.0,-3.53,-1.83
3.14,6.41,-12.29
3.27,11.84,-20.91
3.43,8.35,-21.95
3.58,-3.28,-12.43
3.73,-12.02,-3.27
3.87,-12.35,2.0
4.0,-3.31,-5.67
4.15,8.6,-15.53
4.29,14.87,-24.55
4.44,9.94,-23.7
4.59,-3.85,-14.36
4.74,-14.29,-5.24
4.88,-14.87,0.03
5.02,-3.6,-8.22
5.16,9.25,-17.18
5.29,16.92,-25.46
5.43,13.54,-26.72
5.6,-2.81,-16.41
5.76,-16.42,-5.1
5.9,-17.53,1.55
6.04,-4.79,-7.72
6.18,10.01,-17.05
6.32,19.51,-26.15
6.45,16.09,-27.0
6.6,1.04,-18.44
6.74,-15.16,-7.31
6.89,-22.28,7.82
7.02,-13.57,5.54
7.16,5.4,-5.05
7.29,20.63,-17.77
7.44,24.52,-32.36
7.58,9.47,-25.33
7.72,-10.73,-14.87
7.85,-27.11,6.63
8.0,-28.08,30.35
8.13,-8.35,21.55
8.29,22.03,-0.51
8.44,38.95,-38.52
8.58,27.58,-51.0
8.73,-5.18,-37.35
8.87,-37.69,-0.7
9.01,-50.54,42.99
9.14,-33.12,50.15
9.29,8.86,33.25
9.43,49.21,-11.36
9.57,63.4,-57.15
9.7,43.6,-61.04
9.84,-0.47,-47.62
9.98,-52.16,0.45
10.13,-76.93,56.37
10.28,-58.75,65.32
10.42,-10.62,47.3
10.56,51.55,-3.27
10.69,85.36,-54.67
10.83,86.47,-83.17
10.98,48.92,-67.65
11.13,-23.0,-26.61
11.28,-82.8,37.2
11.43,-103.54,73.77
11.59,-82.19,71.43
11.75,-14.54,51.51
11.9,64.69,-6.75
12.06,112.93,-65.5
12.2,122.8,-68.38
12.35,98.89,-68.33
12.48,43.06,-64.57
12.62,-37.51,-37.62
12.76,-102.2,17.83
12.89,-136.87,55.93
13.04,-151.81,51.06
13.17,-148.21,47.99
13.33,-119.77,48.15
13.49,-50.83,41.21
13.64,41.58,15.93
13.78,110.48,-32.44
13.92,146.16,-68.72
14.07,167.72,-63.82
14.21,172.12,-97.25
14.34,173.66,-119.04
14.48,175.39,-119.03
14.51,175.82,-116.66
14.66,177.62,-97.54
14.8,179.24,-71.55
14.94,180.58,-43.92
15.08,181.15,-21.04
15.24,181.22,-2.1
15.41,180.97,11.94
15.56,180.72,20.11
15.69,180.43,25.41
15.83,180.47,31.18
15.97,180.18,34.27
16.11,180.11,38.02
16.25,180.25,43.2
16.39,180.58,48.74
16.53,180.54,51.25
16.67,180.65,52.91
16.8,180.86,53.34
