Time,Data1,Data2
0.01,-0.04,0.0
0.14,0.72,-3.54
0.28,1.58,-10.65
0.43,-0.18,-8.91
0.56,-2.92,-1.14
0.7,-3.92,6.95
0.83,0.14,-0.7
0.98,4.64,-10.57
1.11,6.01,-18.31
1.25,1.15,-12.03
1.41,-5.29,-2.32
1.55,-7.67,6.01
1.69,-2.48,-0.26
1.83,4.36,-9.12
1.97,8.86,-17.96
2.13,5.36,-16.68
2.27,-3.06,-7.4
2.41,-9.43,1.65
2.56,-8.42,3.78
2.71,0.94,-6.83
2.86,9.04,-16.13
3.0,11.02,-23.62
3.14,3.46,-16.53
3.28,-5.83,-8.52
3.42,-12.17,0.22
3.55,-9.83,1.28
3.69,0.4,-7.27
3.83,9.79,-15.61
3.97,13.75,-23.92
4.13,5.72,-18.02
4.28,-7.24,-8.4
4.43,-14.47,0.34
4.57,-11.02,0.91
4.71,1.15,-7.75
4.87,13.28,-17.43
5.03,15.05,-24.32
5.18,3.13,-15.62
5.33,-10.4,-6.47
5.47,-17.06,1.94
5.6,-11.88,-0.26
5.74,2.16,-9.45
5.88,13.97,-17.78
6.02,17.93,-25.86
6.15,9.36,-20.33
6.3,-6.01,-11.44
6.44,-17.68,-1.44
6.58,-17.03,2.71
6.72,-4.54,-6.22
6.86,11.59,-15.96
7.0,20.09,-24.59
7.15,14.22,-23.36
7.3,-3.46,-13.75
7.46,-19.12,-1.03
7.61,-20.84,9.58
7.75,-6.23,1.17
7.89,12.78,-9.44
8.05,24.3,-23.49
8.19,16.88,-22.99
8.34,-2.81,-13.36
8.47,-20.63,0.83
8.62,-28.26,23.6
8.75,-15.8,21.25
8.88,6.66,10.67
9.02,27.72,-11.54
9.17,34.42,-42.55
9.32,12.17,-38.08
9.47,-19.33,-20.92
9.62,-42.48,18.89
9.77,-36.47,40.46
9.91,-3.71,30.41
10.06,36.22,-2.47
10.2,55.08,-45.61
10.33,42.84,-59.35
10.48,1.69,-46.34
10.62,-43.96,-6.02
10.77,-67.5,46.74
10.94,-43.56,56.97
11.08,4.39,40.36
11.22,57.42,-8.68
11.36,80.57,-57.5
11.5,67.43,-67.42
11.63,22.75,-52.95
11.78,-41.29,-10.29
11.92,-85.79,47.97
12.07,-91.15,71.28
12.22,-56.95,63.42
12.36,6.16,38.79
12.49,69.91,-14.66
12.63,105.08,-65.34
12.77,106.52,-67.23
12.91,71.71,-64.57
13.06,-2.7,-40.46
13.21,-78.91,14.92
13.35,-119.05,64.63
13.51,-129.49,63.22
13.67,-103.0,63.24
13.81,-38.45,54.12
13.95,42.05,30.38
14.1,108.43,-25.06
14.25,141.08,-57.09
14.39,151.24,-51.8
14.54,140.94,-51.17
14.57,134.71,-51.0
14.73,84.74,-51.01
14.88,-0.9,-32.99
15.02,-77.98,-16.1
15.16,-130.28,36.35
15.3,-156.46,49.83
15.44,-171.04,52.15
15.6,-173.38,81.58
15.75,-175.79,82.34
15.89,-177.05,73.85
16.03,-178.7,54.23
16.17,-180.0,32.22
16.31,-180.61,14.05
16.45,-180.83,-1.23
16.61,-180.5,-10.67
16.76,-180.22,-17.18
16.9,-180.36,-23.94
17.05,-180.29,-28.3
17.2,-180.43,-32.06
17.33,-180.61,-33.84
17.47,-180.68,-33.04
17.61,-180.68,-29.19
17.75,-180.68,-22.66
17.88,-180.36,-12.11
18.04,-179.6,3.08
18.19,-179.53,13.99
18.33,-179.24,24.15
18.47,-179.35,30.43
18.61,-179.6,34.75
18.76,-179.82,38.61
18.9,-179.57,44.08
19.04,-179.42,48.18
19.19,-179.53,49.99
19.33,-179.46,51.19
19.47,-179.24,51.46
19.61,-178.96,50.41
19.75,-178.88,45.31
19.89,-179.35,33.28
20.03,-179.86,19.98
20.18,-180.36,6.06
20.34,-180.54,-5.54
20.49,-180.29,-11.58
20.65,-180.25,-17.82
20.79,-180.14,-22.0
20.93,-180.18,-25.44
21.07,-180.07,-27.48
21.22,-180.36,-30.46
21.37,-180.4,-30.65
21.5,-180.54,-29.82
21.65,-180.9,-27.32
21.8,-180.61,-17.99
21.94,-180.07,-5.69
22.07,-179.75,6.1
22.23,-179.42,19.07
22.37,-179.53,26.82
22.52,-179.46,34.3
22.67,-179.6,39.27
22.82,-179.6,43.82
22.97,-179.6,47.57
23.12,-179.46,50.55
23.26,-179.39,51.98
23.4,-179.21,52.28
23.55,-178.99,50.09
23.69,-178.99,43.5
23.83,-179.39,32.65
23.97,-179.89,19.9
24.11,-180.18,8.04
24.26,-180.4,-3.27
24.39,-180.5,-11.82
24.53,-180.36,-17.18
24.68,-180.22,-21.2
24.84,-180.25,-24.91
24.98,-180.29,-26.87
25.12,-180.4,-27.67
25.26,-180.5,-27.09
25.4,-180.5,-24.05
25.54,-180.43,-18.51
25.67,-180.36,-11.17
25.83,-179.93,0.58
25.98,-179.64,11.7
26.14,-179.46,22.08
26.29,-179.57,29.16
26.43,-179.39,36.08
26.57,-179.57,40.14
26.72,-179.71,43.52
26.86,-179.57,47.36
27.0,-179.35,50.77
27.14,-179.14,52.86
27.27,-178.96,52.58
27.42,-178.85,48.53
27.56,-179.14,39.45
27.7,-179.57,27.41
27.83,-180.11,13.88
27.98,-180.36,1.51
28.12,-180.54,-8.11
28.26,-180.32,-13.63
28.39,-180.04,-17.19
28.53,-180.36,-23.01
28.67,-180.18,-24.91
28.83,-180.18,-27.01
28.98,-180.4,-28.74
29.02,-180.47,-28.82
29.18,-180.61,-27.88
29.34,-180.54,-22.78
29.48,-180.47,-15.32
29.62,-180.07,-4.73
29.76,-179.68,6.7
29.9,-179.28,17.72
30.05,-179.35,25.12
30.21,-179.64,29.77
30.35,-179.78,33.79
30.49,-179.82,37.78
30.63,-179.53,43.26
30.78,-179.6,46.13
30.93,-179.53,48.69
31.06,-179.42,50.41
31.21,-179.39,50.52
