Time,Data1,Data2
0.01,0.04,0.0
0.16,0.04,-0.08
0.32,-0.14,0.83
0.45,0.04,0.34
0.59,1.19,-5.7
0.72,1.73,-12.03
0.88,-1.58,-4.21
1.03,-4.1,5.91
1.18,-1.55,3.85
1.32,3.6,-6.91
1.46,6.16,-16.21
1.59,2.95,-13.63
1.73,-3.06,-4.77
1.87,-7.6,4.9
2.03,-5.08,5.26
2.17,2.81,-5.72
2.31,8.64,-15.48
2.45,8.39,-20.43
2.59,0.32,-10.98
2.73,-7.96,-1.2
2.86,-11.02,7.16
3.01,-5.22,3.08
3.15,5.08,-7.39
3.3,11.92,-16.82
3.44,9.97,-20.19
3.58,-0.4,-12.03
3.72,-10.04,-3.57
3.87,-14.04,5.96
4.01,-5.47,-2.45
4.16,6.98,-13.04
4.29,14.36,-21.61
4.43,12.06,-22.86
4.58,0.14,-13.41
4.72,-11.88,-3.81
4.88,-15.98,5.7
5.02,-6.55,-1.12
5.16,6.59,-10.69
5.29,15.91,-19.21
5.42,15.95,-23.87
5.55,5.26,-16.5
5.7,-9.65,-6.92
5.84,-18.43,3.25
6.0,-12.78,2.98
6.14,2.95,-7.63
6.28,16.56,-17.35
6.42,19.58,-24.63
6.56,8.35,-16.52
6.7,-8.64,-6.33
6.84,-19.98,5.77
6.98,-19.08,13.76
7.12,-3.13,4.42
7.26,14.22,-7.61
7.39,24.66,-24.29
7.54,18.72,-29.45
7.68,-1.58,-19.8
7.83,-22.64,-0.95
7.97,-31.03,29.22
8.12,-15.12,28.81
8.26,12.67,15.57
8.41,36.18,-18.22
8.55,37.19,-46.74
8.69,10.91,-38.66
8.83,-23.04,-16.12
8.98,-49.1,31.26
9.13,-41.87,55.63
9.29,-0.94,41.8
9.44,45.07,-2.69
9.59,63.54,-53.43
9.74,41.9,-59.94
9.89,-8.28,-41.32
10.02,-54.54,5.29
10.16,-76.86,56.32
10.29,-62.96,68.0
10.45,-7.81,49.43
10.6,54.22,-2.05
10.74,88.06,-57.09
10.9,80.6,-73.27
11.05,32.62,-56.51
11.19,-37.8,-11.26
11.34,-90.9,51.38
11.48,-105.26,71.6
11.62,-84.46,70.24
11.76,-30.35,57.1
11.89,43.2,10.83
12.04,102.56,-50.49
12.19,125.28,-70.93
12.34,113.76,-68.59
12.5,59.33,-65.67
12.65,-27.0,-37.7
12.8,-98.96,16.23
12.94,-134.71,58.51
13.08,-149.65,54.3
13.23,-143.71,51.01
13.37,-113.26,51.19
13.51,-53.5,46.16
13.64,29.99,27.67
13.79,103.1,-15.0
13.93,143.39,-58.29
14.06,166.32,-58.4
14.22,173.95,-105.7
14.38,172.51,-167.48
14.54,173.56,-188.84
14.58,173.95,-188.84
14.73,175.72,-173.25
14.88,178.16,-138.08
15.02,180.0,-100.86
15.16,181.19,-66.59
15.3,181.62,-39.69
15.43,181.48,-20.4
15.57,181.33,-5.9
15.71,181.33,5.35
