Time,Data1,Data2
0.01,0.04,0.0
0.15,0.54,-2.92
0.3,1.26,-8.84
0.44,-0.5,-5.91
0.58,-2.81,1.43
0.74,-2.74,6.54
0.9,1.87,-2.29
1.04,4.79,-10.06
1.18,3.2,-10.56
1.33,-2.09,-2.42
1.47,-5.94,5.38
1.62,-4.72,6.25
1.75,0.65,-1.23
1.89,5.87,-9.15
2.02,7.13,-15.11
2.17,1.62,-7.82
2.32,-5.58,1.3
2.48,-8.42,9.37
2.64,-2.66,3.89
2.78,5.0,-4.04
2.92,9.32,-11.36
3.06,6.52,-10.41
3.2,-1.8,-2.23
3.33,-8.5,5.06
3.48,-10.22,11.5
3.62,-2.84,2.93
3.75,5.62,-4.9
3.9,10.91,-12.24
4.03,8.28,-12.21
4.19,-1.94,-3.14
4.34,-10.66,5.54
4.5,-10.51,9.08
4.65,-0.36,-0.16
4.8,9.29,-8.28
4.94,12.67,-14.98
5.07,6.55,-9.85
5.22,-4.61,-1.11
5.36,-12.6,6.68
5.51,-11.41,8.38
5.65,-1.15,-0.22
5.78,9.0,-7.82
5.93,14.0,-14.71
6.08,7.34,-10.9
6.21,-3.85,-2.74
6.35,-12.85,4.77
6.5,-13.46,8.91
6.65,-2.95,0.83
6.79,9.43,-7.59
6.95,15.52,-15.24
7.09,8.82,-10.98
7.24,-4.36,-2.1
7.37,-14.11,5.77
7.51,-15.48,11.49
7.66,-4.5,2.6
7.79,8.24,-5.38
7.93,16.52,-13.01
8.07,13.57,-13.17
8.21,0.54,-4.55
8.34,-12.13,4.31
8.49,-18.43,14.85
8.63,-10.51,10.91
8.78,4.93,2.07
8.93,18.18,-10.22
9.08,17.6,-16.98
9.22,2.99,-7.93
9.36,-12.96,3.38
9.5,-23.54,23.92
9.64,-18.32,33.17
9.78,2.09,21.61
9.93,23.8,-3.97
10.06,31.9,-37.6
10.22,13.9,-41.95
10.37,-16.63,-23.44
10.51,-40.07,17.86
10.65,-41.18,58.48
10.79,-11.56,53.77
10.95,31.64,19.37
11.1,57.17,-33.18
11.24,47.09,-55.44
11.37,8.71,-41.0
11.51,-41.33,2.84
11.66,-70.13,57.92
11.79,-62.68,82.79
11.93,-21.89,63.1
12.08,37.4,16.86
12.21,75.17,-34.4
12.36,79.27,-76.35
12.52,36.65,-58.72
12.67,-28.51,-15.4
12.81,-81.14,46.27
12.97,-94.03,88.23
13.11,-66.28,80.42
13.25,-5.36,48.26
13.39,60.26,-4.15
13.53,99.58,-58.53
13.67,102.6,-66.32
13.83,64.01,-60.8
13.96,1.22,-33.34
14.11,-76.28,28.9
14.25,-114.62,81.52
14.41,-119.92,82.59
14.57,-84.06,82.58
14.61,-68.4,79.04
14.76,16.38,43.2
14.9,83.74,1.38
15.04,124.02,-47.86
15.17,136.08,-54.07
15.32,122.8,-52.6
15.45,80.89,-52.73
15.59,4.14,-32.09
15.73,-75.53,-3.59
15.87,-124.63,50.44
16.02,-151.42,74.42
16.15,-161.71,68.85
16.29,-160.27,64.91
16.45,-142.24,64.71
16.59,-99.97,64.34
16.76,-11.09,48.0
16.91,75.85,34.67
17.05,130.5,-17.99
17.2,159.19,-42.03
17.35,174.82,-49.46
17.49,175.43,-105.95
17.62,173.66,-155.83
17.78,173.92,-180.46
17.93,175.18,-174.32
18.09,177.59,-142.37
18.24,179.68,-103.71
18.39,181.08,-66.99
18.53,181.51,-40.33
18.67,181.48,-21.01
18.8,181.37,-6.49
18.94,180.76,1.43
19.09,180.5,8.72
19.23,180.18,13.59
19.37,180.14,19.21
19.5,180.18,24.79
19.64,180.14,29.37
19.78,180.32,34.54
19.93,180.25,37.51
20.05,180.29,39.93
20.18,180.4,42.09
20.34,180.4,42.94
20.49,180.61,43.04
20.65,180.79,40.33
20.8,180.58,33.57
20.93,180.5,25.84
21.07,180.04,14.64
21.21,179.75,4.12
21.35,179.71,-4.28
21.48,179.68,-11.38
21.62,179.82,-16.52
21.78,179.96,-21.42
21.93,179.96,-26.26
22.09,179.89,-31.45
22.24,179.71,-36.11
22.38,179.6,-39.01
22.53,179.64,-39.73
22.67,179.42,-40.1
