Time,Data1,Data2
0.01,-0.07,0.0
0.15,1.3,-6.3
0.3,1.8,-12.58
0.44,-0.83,-7.02
0.57,-3.1,-0.03
0.72,-2.95,4.61
0.86,1.62,-3.94
1.0,5.11,-11.92
1.14,4.75,-15.14
1.28,-0.58,-7.07
1.44,-5.87,2.61
1.57,-6.62,9.45
1.72,0.25,-0.4
1.88,6.95,-10.05
2.02,8.17,-16.01
2.17,1.69,-7.79
2.3,-5.36,0.64
2.44,-9.43,9.21
2.57,-5.94,7.42
2.72,2.84,-1.78
2.86,9.68,-10.11
3.01,9.72,-14.68
3.15,1.48,-7.24
3.29,-7.85,1.57
3.44,-11.92,9.95
3.58,-6.01,5.56
3.71,3.92,-3.08
3.86,11.95,-11.25
3.99,12.02,-14.95
4.15,1.51,-4.89
4.29,-9.29,4.39
4.43,-13.82,12.75
4.59,-6.19,7.19
4.72,5.08,-1.52
4.86,13.97,-10.4
5.01,12.74,-12.29
5.17,0.4,-2.37
5.32,-12.13,7.75
5.48,-14.98,14.95
5.63,-3.78,5.38
5.78,9.47,-4.02
5.92,16.6,-12.88
6.07,11.02,-9.2
6.21,-2.56,0.18
6.35,-14.65,10.99
6.49,-17.35,20.19
6.63,-6.73,13.19
6.77,8.71,3.4
6.92,19.69,-11.87
7.06,17.03,-21.04
7.21,0.36,-11.62
7.34,-16.49,2.71
7.49,-26.17,30.03
7.62,-17.21,37.16
7.77,6.44,24.9
7.91,28.19,-3.12
8.04,35.86,-40.17
8.19,16.96,-42.75
8.33,-16.67,-23.74
8.49,-44.42,22.7
8.64,-42.77,62.23
8.78,-7.96,48.85
8.94,38.38,6.3
9.09,61.49,-46.7
9.24,44.96,-62.84
9.39,-3.56,-40.31
9.53,-53.71,10.88
9.67,-74.7,63.22
9.81,-59.33,76.52
9.96,-7.09,51.56
10.09,48.1,5.98
10.25,84.28,-52.2
10.39,76.36,-77.98
10.56,22.68,-56.75
10.7,-45.86,-7.16
10.87,-93.96,60.2
11.03,-90.86,75.21
11.18,-46.48,59.55
11.32,25.63,17.53
11.47,86.69,-39.86
11.61,108.94,-76.19
11.75,97.34,-73.3
11.89,51.66,-65.51
12.05,-32.69,-23.87
12.2,-97.42,34.67
12.35,-124.27,70.91
12.5,-117.83,67.82
12.66,-69.84,65.64
12.81,14.4,40.26
12.94,82.62,5.96
13.09,126.54,-44.06
13.22,142.99,-53.98
13.36,138.71,-51.53
13.5,111.02,-51.61
13.66,37.55,-45.87
13.81,-53.03,-26.79
13.97,-121.39,32.52
14.12,-152.24,63.72
14.27,-169.38,57.23
14.42,-174.17,65.34
14.56,-176.04,66.04
14.71,-177.48,56.27
14.74,-177.88,52.42
14.89,-179.32,32.99
15.04,-180.22,14.16
15.18,-180.65,-0.24
15.32,-180.65,-9.69
15.45,-180.43,-15.49
15.6,-180.25,-19.4
15.74,-180.25,-22.33
15.88,-180.29,-24.1
16.01,-180.47,-24.72
16.16,-180.4,-22.01
16.32,-180.47,-16.68
16.48,-180.29,-7.26
16.63,-179.82,4.44
16.77,-179.64,14.88
16.9,-179.35,24.93
17.04,-179.28,32.7
17.19,-179.39,38.9
17.34,-179.53,43.77
17.47,-179.46,48.35
17.61,-179.68,50.77
17.75,-179.46,54.62
17.9,-179.5,56.54
18.04,-179.53,57.36
18.17,-179.39,58.26
18.31,-179.24,58.08
18.45,-178.96,56.73
18.61,-178.96,50.81
18.75,-179.17,40.94
18.91,-179.68,26.9
19.06,-180.04,13.6
19.2,-180.29,2.36
19.34,-180.47,-6.59
19.47,-180.22,-11.22
19.61,-180.14,-15.51
19.76,-180.11,-18.78
19.91,-180.04,-20.68
20.05,-180.22,-22.54
20.19,-180.32,-22.61
20.34,-180.58,-21.2
20.49,-180.54,-15.49
20.65,-180.22,-4.81
20.8,-179.82,6.75
20.95,-179.35,18.71
21.1,-179.5,26.31
21.23,-179.68,31.61
21.37,-179.68,37.41
21.51,-179.6,43.15
21.65,-179.46,48.9
21.78,-179.35,53.75
21.92,-179.5,55.74
22.07,-179.5,57.17
22.21,-179.28,58.62
22.35,-179.1,58.05
22.51,-178.88,54.94
22.66,-178.92,47.78
22.8,-179.35,36.75
22.94,-179.71,24.61
23.07,-179.93,13.11
23.21,-180.32,1.12
23.35,-180.47,-7.77
23.49,-180.18,-12.71
23.63,-180.04,-16.94
23.79,-180.11,-22.27
23.94,-180.25,-26.31
24.09,-180.11,-27.43
24.25,-180.4,-28.74
24.41,-180.58,-27.21
24.56,-180.68,-22.86
24.72,-180.43,-12.61
24.86,-179.86,0.9
25.0,-179.46,13.23
25.14,-179.32,23.66
25.28,-179.21,32.22
25.42,-179.32,38.2
25.55,-179.39,42.86
25.69,-179.64,45.9
25.85,-179.35,51.62
26.0,-179.35,54.06
26.15,-179.24,55.42
26.29,-179.14,54.97
26.43,-179.06,52.66
26.58,-179.03,47.38
26.73,-179.14,38.57
26.87,-179.57,26.89
27.0,-180.11,14.2
27.14,-180.18,4.29
27.28,-180.4,-4.81
27.43,-180.11,-9.97
27.56,-180.07,-14.64
27.7,-180.14,-19.05
27.84,-179.93,-21.15
27.98,-180.14,-24.64
28.12,-180.18,-25.97
28.26,-180.36,-26.74
28.4,-180.61,-25.89
28.54,-180.58,-21.07
28.69,-180.4,-12.1
28.85,-180.0,0.38
29.0,-179.42,14.13
