Time,Data1,Data2
0.16,0.0,0.0
0.32,0.0,0.0
0.49,0.0,0.0
0.64,-0.07,0.26
0.79,0.86,-4.58
0.95,1.73,-12.69
1.1,-1.12,-7.67
1.26,-4.32,3.56
1.42,-2.59,5.75
1.57,3.49,-5.16
1.73,6.73,-14.87
1.88,2.52,-11.23
2.04,-4.9,-0.53
2.19,-8.5,9.52
2.35,-2.95,3.56
2.51,5.76,-7.59
2.67,9.83,-17.8
2.83,3.31,-11.31
2.98,-6.48,-0.51
3.14,-11.27,9.42
3.31,-4.14,3.03
3.46,6.73,-7.85
3.62,12.31,-17.14
3.79,5.54,-12.47
3.95,-7.24,-0.77
4.12,-13.57,9.85
4.29,-5.69,4.47
4.44,7.2,-5.96
4.6,14.47,-15.16
4.77,8.14,-12.21
4.92,-5.65,-1.68
5.08,-15.05,8.06
5.23,-11.77,9.15
5.4,3.28,-1.71
5.57,15.44,-12.43
5.74,12.96,-14.68
5.91,-2.84,-3.59
6.07,-16.16,7.19
6.24,-14.33,10.11
6.4,0.61,0.24
6.55,15.12,-9.93
6.72,17.28,-16.36
6.88,3.38,-6.91
7.03,-13.28,4.09
7.19,-19.8,13.65
7.37,-6.41,4.93
7.52,11.59,-6.17
7.69,20.88,-17.3
7.86,9.86,-12.24
8.03,-10.8,-0.13
8.2,-22.79,15.48
8.35,-13.9,12.8
8.52,8.32,0.62
8.68,23.9,-16.15
8.83,20.27,-23.22
9.0,-2.88,-13.04
9.16,-24.41,5.82
9.33,-27.76,29.64
9.51,-0.4,17.83
9.68,29.12,-9.4
9.85,35.24,-44.73
10.02,5.54,-33.61
10.19,-31.32,-1.51
10.36,-46.84,47.92
10.53,-17.78,43.55
10.69,28.44,13.67
10.85,57.49,-39.17
11.03,40.21,-54.75
11.19,-10.26,-34.34
11.34,-58.21,19.39
11.51,-68.87,67.52
11.68,-28.3,56.75
11.84,37.98,15.12
12.0,79.34,-44.08
12.16,74.84,-72.05
12.32,24.37,-54.11
12.49,-52.92,2.4
12.66,-94.64,67.41
12.83,-83.81,70.63
13.0,-19.4,45.39
13.16,60.66,-13.76
13.34,107.75,-75.98
13.51,101.09,-73.86
13.68,41.98,-68.51
13.85,-51.26,-22.48
14.01,-112.61,42.3
14.17,-134.32,57.07
14.33,-122.98,55.13
14.48,-72.18,53.24
14.65,21.64,23.5
14.8,99.07,-21.84
14.97,139.57,-63.54
15.14,152.46,-57.15
15.31,135.86,-56.59
15.48,80.96,-55.98
15.64,-12.56,-42.23
15.82,-104.65,-4.93
15.99,-148.39,40.5
16.16,-172.22,41.9
16.32,-172.84,105.71
16.48,-173.52,138.03
16.65,-175.57,135.88
16.72,-176.22,129.8
16.9,-178.52,98.04
17.07,-180.25,62.65
17.23,-181.04,34.37
17.41,-181.12,11.94
17.58,-180.94,-2.28
17.75,-180.61,-11.22
17.92,-180.47,-17.85
18.09,-180.22,-21.76
18.25,-180.18,-25.67
18.42,-180.43,-29.21
18.59,-180.54,-30.23
18.76,-180.61,-28.44
18.93,-180.72,-23.7
19.09,-180.43,-14.15
19.27,-179.86,0.03
19.44,-179.35,13.01
19.61,-179.64,19.74
19.78,-179.89,25.25
19.95,-179.68,32.27
20.11,-179.64,37.67
20.28,-179.82,40.82
20.45,-179.71,45.07
20.61,-179.68,47.94
20.78,-179.39,50.95
20.95,-179.24,50.93
21.12,-179.03,48.34
21.27,-179.03,41.43
21.44,-179.57,26.89
21.61,-180.25,9.63
21.78,-180.5,-4.31
21.94,-180.61,-14.72
22.11,-180.18,-19.88
22.28,-180.11,-25.04
22.44,-180.04,-29.26
22.61,-180.18,-33.97
22.78,-180.36,-37.6
22.94,-180.47,-38.97
23.12,-180.65,-38.5
23.29,-180.5,-33.45
23.46,-180.54,-25.76
23.63,-180.11,-12.5
23.8,-179.86,0.43
23.96,-179.53,13.84
24.13,-179.28,25.06
24.3,-179.64,29.72
24.47,-179.75,33.61
24.62,-179.6,37.54
24.78,-179.64,39.45
24.95,-179.6,40.73
25.12,-179.35,41.1
25.29,-179.17,38.39
25.45,-179.32,30.47
25.62,-179.78,17.62
