Time,Data1,Data2
0.01,-0.04,0.0
0.14,-0.07,0.24
0.28,-0.11,0.26
0.44,1.08,-5.98
0.59,1.76,-14.07
0.75,-1.33,-8.19
0.9,-4.21,1.97
1.06,-2.3,3.33
1.2,3.13,-6.41
1.34,6.44,-15.61
1.5,3.31,-14.47
1.64,-3.31,-5.9
1.8,-8.17,4.6
1.93,-5.98,5.29
2.07,1.91,-4.5
2.21,8.14,-13.43
2.35,9.29,-20.03
2.49,1.98,-12.85
2.64,-6.84,-3.94
2.78,-11.34,5.27
2.93,-6.41,2.36
3.07,3.92,-7.55
3.21,11.59,-16.81
3.37,10.08,-19.21
3.52,-0.9,-10.56
3.68,-11.41,-0.56
3.82,-13.36,6.95
3.97,-4.14,-0.82
4.11,8.1,-10.7
4.26,14.9,-19.56
4.4,10.4,-18.25
4.54,-2.05,-9.77
4.68,-12.64,-1.28
4.82,-16.02,6.86
4.95,-7.67,0.13
5.1,6.41,-9.95
5.24,16.16,-19.05
5.37,15.05,-21.63
5.52,2.81,-13.41
5.65,-10.4,-4.92
5.79,-18.11,4.13
5.93,-12.2,0.91
6.08,2.77,-9.39
6.21,14.98,-18.09
6.34,18.72,-24.9
6.47,10.4,-19.72
6.63,-6.62,-10.48
6.77,-18.58,-0.1
6.92,-17.75,4.9
7.06,-3.13,-4.87
7.21,13.5,-14.85
7.35,21.2,-23.38
7.49,13.54,-20.06
7.65,-5.11,-10.78
7.8,-19.91,1.23
7.94,-21.82,12.18
8.07,-8.17,3.56
8.22,11.84,-8.2
8.35,24.55,-23.26
8.49,21.71,-30.55
8.63,4.32,-22.25
8.77,-18.0,-7.82
8.92,-31.0,19.48
9.06,-21.31,27.62
9.22,7.34,15.4
9.37,32.9,-14.08
9.52,38.27,-48.82
9.66,14.15,-42.03
9.8,-19.22,-21.97
9.94,-46.12,19.82
10.09,-45.5,52.23
10.24,-8.93,41.11
10.39,37.19,4.37
10.53,61.45,-43.56
10.69,47.3,-61.03
10.84,1.73,-47.17
10.98,-49.39,-1.6
11.14,-75.46,54.56
11.3,-55.58,64.62
11.44,-1.51,45.1
11.59,58.39,-7.85
11.73,87.7,-60.53
11.88,77.8,-76.51
12.02,33.55,-56.75
12.15,-28.87,-16.79
12.3,-84.71,45.66
12.44,-101.45,75.8
12.6,-75.53,72.92
12.75,-10.98,54.06
12.89,60.73,0.87
13.03,108.0,-55.47
13.18,120.78,-62.6
13.32,99.36,-62.49
13.46,45.07,-53.79
13.6,-35.86,-18.95
13.74,-99.54,36.88
13.87,-132.84,73.29
14.02,-143.93,66.62
14.15,-132.37,64.89
14.3,-90.9,64.92
14.43,-16.96,45.98
14.57,63.79,24.75
14.61,84.74,8.4
14.77,135.83,-45.95
14.93,161.17,-50.65
15.08,171.5,-48.34
15.23,175.14,-42.65
15.37,177.88,-24.07
15.51,179.86,-1.44
15.65,180.76,16.78
15.79,181.26,30.73
15.93,180.79,37.16
16.08,180.54,41.74
16.22,180.22,44.17
16.36,180.4,48.39
16.5,180.32,50.45
16.64,180.25,51.56
16.78,180.43,52.91
16.92,180.65,53.4
17.05,180.86,51.67
17.19,180.97,47.02
17.35,180.61,35.51
17.5,180.11,21.82
17.64,179.71,9.24
17.78,179.6,-1.15
17.91,179.57,-9.37
18.06,179.71,-15.7
18.21,179.68,-21.92
18.35,179.78,-25.8
18.48,179.93,-28.95
18.62,179.78,-32.85
18.77,179.86,-35.02
18.91,179.53,-38.2
19.05,179.35,-39.09
19.2,179.28,-37.06
19.35,179.39,-31.03
19.5,179.64,-21.76
19.64,179.93,-11.25
19.78,180.14,-1.07
19.91,180.43,9.5
20.05,180.4,17.4
20.2,180.47,25.2
20.34,180.58,31.63
20.47,180.47,35.54
20.61,180.36,38.36
20.75,180.4,41.06
20.9,180.47,42.78
21.04,180.58,43.68
21.19,180.79,42.94
21.33,180.97,39.78
21.48,180.86,32.03
21.63,180.25,19.07
21.76,179.75,6.07
21.9,179.57,-4.18
22.04,179.53,-12.53
22.18,179.82,-17.48
22.31,179.86,-22.66
22.45,179.6,-28.44
22.6,179.82,-30.91
22.75,179.75,-33.74
22.9,179.75,-35.22
23.04,179.53,-36.11
23.19,179.28,-35.28
23.33,179.03,-32.27
23.47,179.35,-23.15
23.61,179.86,-10.46
23.76,180.58,4.37
23.9,180.5,14.07
24.04,180.47,21.2
24.18,180.43,26.92
24.32,180.22,30.65
24.46,180.04,34.37
24.6,180.22,39.53
24.74,180.29,43.42
24.88,180.25,46.06
25.02,180.58,49.81
25.15,180.68,50.82
25.31,180.9,49.96
25.46,180.97,45.6
25.6,180.9,38.02
25.75,180.32,24.45
25.89,179.78,9.89
