Time,Data1,Data2
0.01,-0.04,0.0
0.14,0.0,-0.02
0.29,0.18,-0.77
0.45,1.01,-5.98
0.6,-0.04,-5.34
0.75,-2.52,3.36
0.89,-2.48,7.75
1.04,1.33,0.53
1.17,4.25,-6.86
1.31,3.85,-10.09
1.44,-0.54,-3.09
1.59,-5.08,5.34
1.72,-5.98,11.31
1.87,-0.36,3.78
2.03,5.8,-5.3
2.19,7.2,-11.97
2.33,1.4,-5.14
2.47,-5.58,3.38
2.61,-8.68,10.32
2.75,-4.61,6.71
2.88,2.74,-1.36
3.01,8.39,-8.3
3.15,8.96,-12.51
3.28,2.81,-6.28
3.41,-5.08,1.27
3.55,-10.22,8.67
3.7,-7.31,8.25
3.84,1.73,0.03
3.97,9.14,-7.24
4.12,11.09,-12.85
4.25,4.61,-6.91
4.39,-5.44,1.41
4.53,-11.52,8.4
4.67,-9.94,10.53
4.82,0.76,1.75
4.98,10.87,-7.0
5.12,12.56,-11.82
5.27,4.14,-4.69
5.4,-6.26,3.0
5.54,-13.32,10.37
5.68,-11.23,11.7
5.82,-0.43,3.41
5.95,9.94,-4.42
6.1,14.65,-11.1
6.25,7.06,-5.19
6.41,-6.41,4.17
6.55,-14.47,11.68
6.7,-12.02,12.4
6.83,-1.37,4.63
6.97,10.98,-4.2
7.11,15.95,-10.83
7.25,9.43,-5.83
7.39,-3.85,3.32
7.54,-14.4,11.54
7.69,-14.4,15.54
7.85,-1.48,6.22
8.01,12.82,-4.39
8.15,17.64,-13.94
8.29,8.78,-9.05
8.43,-5.11,-1.25
8.56,-16.49,8.46
8.69,-18.83,17.7
8.85,-5.69,9.98
8.99,11.12,-0.42
9.14,21.89,-16.78
9.28,17.03,-23.78
9.43,-1.55,-14.29
9.56,-19.44,1.99
9.71,-28.66,32.35
9.87,-13.36,35.34
10.01,13.39,19.87
10.15,34.09,-12.4
10.29,36.14,-45.33
10.43,11.02,-40.25
10.58,-25.27,-15.32
10.73,-49.14,33.15
10.89,-36.97,58.3
11.04,4.43,39.49
11.18,46.01,-3.78
11.33,62.86,-53.39
11.48,39.42,-54.88
11.63,-12.67,-28.78
11.79,-62.75,28.25
11.94,-73.87,78.0
12.1,-38.52,67.12
12.25,25.2,26.28
12.4,73.84,-29.64
12.54,85.46,-75.24
12.69,57.64,-72.29
12.84,-7.2,-40.49
12.98,-66.24,13.01
13.12,-96.62,66.97
13.25,-91.22,73.72
13.4,-47.02,59.2
13.56,32.08,12.35
13.71,90.58,-45.61
13.84,110.05,-76.75
13.99,95.9,-73.09
14.12,47.63,-64.81
14.27,-31.25,-25.68
14.42,-97.38,33.05
14.56,-124.42,71.47
14.59,-127.33,71.27
14.74,-119.27,68.03
14.88,-75.96,66.91
15.02,-0.32,44.69
15.17,77.36,10.49
15.3,122.22,-37.56
15.43,142.63,-54.88
15.58,143.64,-50.6
15.71,122.87,-50.34
15.87,60.77,-47.86
16.02,-28.22,-33.93
16.16,-100.19,1.87
16.32,-141.91,51.75
16.46,-161.93,53.29
16.6,-170.35,46.06
16.74,-175.5,22.22
16.88,-179.24,-9.45
17.02,-181.04,-33.74
17.16,-181.37,-47.06
17.31,-181.19,-53.48
17.47,-181.15,-55.53
17.61,-181.22,-53.51
17.76,-181.12,-45.78
17.91,-180.4,-30.54
18.05,-179.75,-14.07
18.19,-179.28,0.96
18.33,-179.14,12.79
18.46,-179.17,21.69
