Time,Data1,Data2
0.01,0.0,0.0
0.15,-0.25,1.15
0.29,-1.26,7.1
0.44,-1.12,11.36
0.58,2.12,2.26
0.71,4.03,-6.78
0.86,1.51,-5.74
1.0,-3.64,3.69
1.16,-6.37,13.15
1.31,-1.87,8.52
1.47,5.0,-1.99
1.61,7.99,-11.1
1.75,3.35,-6.54
1.89,-3.89,2.31
2.03,-9.07,11.25
2.19,-6.37,11.14
2.34,3.02,-0.05
2.48,9.68,-9.74
2.63,8.96,-13.44
2.76,0.86,-4.68
2.9,-8.35,5.06
3.05,-12.02,13.63
3.19,-5.44,7.27
3.34,5.29,-3.09
3.48,12.38,-12.37
3.61,10.62,-13.97
3.76,0.25,-4.68
3.89,-9.65,4.07
4.03,-14.15,12.63
4.17,-7.52,8.86
4.31,3.92,-0.1
4.45,13.64,-9.45
4.58,14.36,-14.93
4.71,5.04,-7.74
4.87,-9.32,2.5
5.01,-16.49,11.36
5.16,-11.38,10.0
5.31,3.64,-0.74
5.47,16.06,-12.27
5.62,15.16,-16.15
5.77,2.02,-7.34
5.91,-12.85,3.46
6.08,-19.94,19.56
6.21,-10.55,14.8
6.36,6.98,3.6
6.49,20.59,-13.36
6.64,22.9,-34.38
6.77,7.7,-27.75
6.9,-12.85,-14.87
7.04,-29.48,14.52
7.19,-29.2,47.39
7.33,-4.03,38.08
7.48,27.97,7.61
7.62,44.35,-36.15
7.77,31.5,-56.33
7.91,-6.66,-39.78
8.06,-45.0,6.47
8.2,-59.15,57.2
8.33,-39.64,65.51
8.47,4.93,42.59
8.61,53.1,-8.72
8.75,72.61,-59.91
8.88,56.2,-69.23
9.02,10.48,-53.82
9.17,-50.08,-1.71
9.31,-84.53,58.42
9.46,-79.02,87.51
9.61,-32.29,60.45
9.77,41.83,3.46
9.91,87.84,-56.01
10.06,94.75,-81.38
10.21,61.7,-71.41
10.35,-3.71,-35.14
10.49,-69.41,23.71
10.62,-103.75,75.99
10.77,-107.21,85.35
10.91,-73.19,81.78
11.05,-5.11,51.3
11.2,72.5,-5.83
11.35,114.66,-60.31
11.48,125.14,-67.37
11.62,105.41,-67.15
11.76,53.78,-63.13
11.91,-32.8,-35.14
12.06,-103.0,22.75
12.2,-135.9,66.96
12.33,-148.36,65.55
12.47,-141.7,62.33
12.62,-109.4,62.42
12.77,-39.96,55.34
12.92,54.68,45.31
13.07,119.3,-9.44
13.22,152.89,-47.92
13.36,172.55,-42.89
13.51,174.46,-99.82
13.65,172.94,-150.18
13.79,174.24,-163.11
13.93,175.46,-157.99
14.07,177.26,-135.66
14.21,179.17,-103.84
14.36,180.61,-69.34
14.52,181.33,-38.81
14.55,181.37,-33.69
14.7,181.37,-14.61
14.85,181.37,-0.69
14.99,180.65,4.76
15.13,180.22,9.55
15.27,180.04,14.21
15.41,180.14,19.96
15.56,180.5,26.93
15.7,180.32,29.98
15.84,180.29,32.28
15.98,180.32,34.16
16.13,180.29,34.54
16.27,180.43,34.54
16.41,180.68,33.79
16.56,180.58,29.24
16.71,180.18,21.31
16.85,180.29,15.14
16.99,180.0,5.59
17.13,179.89,-2.56
17.26,179.5,-11.2
17.41,179.75,-16.44
17.54,179.75,-21.5
17.68,179.75,-25.88
17.83,179.78,-29.5
17.97,179.86,-32.01
18.11,179.78,-34.74
18.25,179.53,-37.52
18.4,179.32,-38.23
18.54,179.1,-36.98
18.69,178.99,-31.98
18.84,179.6,-19.39
18.97,180.07,-6.83
19.12,180.5,6.25
19.27,180.68,16.39
19.41,180.36,21.52
19.55,180.4,27.19
19.69,180.61,32.69
19.84,180.72,35.84
19.98,180.65,36.02
20.12,180.58,34.38
20.27,180.47,30.17
20.4,180.76,26.18
20.54,180.25,16.23
20.69,180.14,6.73
20.84,179.68,-4.87
20.97,179.57,-13.6
21.12,179.39,-21.53
21.27,179.6,-25.56
21.41,179.82,-27.77
21.56,179.75,-30.95
21.71,179.68,-33.44
21.84,179.5,-34.74
21.99,179.32,-34.59
22.14,179.28,-31.21
22.28,179.32,-25.11
22.42,179.71,-14.28
22.57,180.22,-1.62
22.71,180.25,7.74
22.86,180.5,18.1
23.0,180.54,25.19
23.13,180.32,28.95
23.28,180.36,33.13
23.43,180.54,36.58
23.57,180.5,37.35
23.72,180.68,37.17
23.86,180.83,34.66
24.0,180.83,29.05
24.15,180.4,18.19
24.3,179.86,5.01
24.44,179.42,-6.28
24.59,179.6,-13.55
24.73,179.71,-19.29
24.87,179.78,-23.97
25.01,179.86,-27.97
25.15,179.86,-32.22
25.3,179.82,-35.79
25.44,179.75,-38.63
25.58,179.46,-41.55
25.74,179.42,-41.64
25.89,179.28,-39.81
26.03,179.14,-35.49
26.17,179.35,-26.9
26.32,179.82,-14.07
26.47,180.29,-0.5
26.61,180.68,10.98
26.76,180.43,18.27
26.9,180.32,24.08
27.04,180.4,29.27
27.18,180.25,32.16
27.33,180.5,36.07
27.46,180.5,36.95
27.6,180.43,36.05
27.75,180.5,33.95
27.9,180.54,29.71
28.04,180.72,24.4
28.18,180.22,12.87
28.33,179.89,1.44
28.47,179.46,-9.58
28.62,179.42,-17.46
28.77,179.75,-21.44
28.9,179.89,-25.06
