Time,Data1,Data2
0.01,-0.04,0.0
0.15,0.86,-4.53
0.31,1.55,-11.74
0.44,-0.76,-7.29
0.58,-3.46,1.25
0.73,-3.35,6.67
0.87,1.44,-2.02
1.03,5.4,-11.04
1.17,3.92,-11.28
1.31,-1.8,-2.55
1.46,-6.3,5.96
1.59,-6.19,9.98
1.73,0.07,1.06
1.86,5.8,-6.89
2.01,8.03,-13.83
2.16,2.3,-7.88
2.31,-5.18,0.53
2.45,-9.25,8.27
2.58,-5.94,5.3
2.72,2.3,-3.81
2.87,8.75,-11.57
3.0,9.18,-15.53
3.14,1.91,-7.98
3.28,-6.16,-0.21
3.43,-10.91,8.11
3.59,-5.58,4.98
3.73,4.18,-3.54
3.87,11.02,-11.12
4.0,10.22,-13.15
4.15,1.15,-4.42
4.29,-8.64,4.09
4.44,-12.64,11.39
4.59,-5.72,6.26
4.72,4.46,-1.76
4.87,12.42,-9.55
5.01,11.38,-11.66
5.15,1.3,-3.99
5.3,-9.72,4.33
5.43,-14.26,10.98
5.59,-7.78,7.07
5.73,4.43,-1.52
5.87,13.57,-9.26
6.03,12.56,-11.52
6.17,1.4,-3.75
6.3,-9.97,4.09
6.44,-15.73,11.15
6.59,-9.47,6.47
6.74,3.64,-2.74
6.88,14.26,-11.49
7.02,14.94,-15.51
7.15,5.29,-9.07
7.3,-8.57,-0.5
7.43,-16.99,9.42
7.59,-13.28,11.01
7.74,2.2,1.22
7.88,14.9,-9.23
8.02,19.66,-22.25
8.15,10.22,-17.94
8.3,-6.7,-9.98
8.43,-19.8,3.16
8.56,-23.36,23.63
8.72,-7.24,19.32
8.85,12.78,7.85
9.0,29.2,-20.52
9.15,25.85,-42.75
9.29,0.9,-32.51
9.43,-26.89,-3.7
9.57,-42.37,40.73
9.71,-29.48,61.46
9.87,12.1,37.32
10.03,48.53,-12.67
10.19,52.31,-60.15
10.33,17.5,-50.39
10.49,-35.46,-8.49
10.64,-68.44,50.84
10.79,-59.72,79.89
10.93,-17.96,61.73
11.07,40.32,15.3
