Time,Data1,Data2
0.01,-0.04,0.0
0.14,0.65,-3.4
0.29,1.37,-9.36
0.42,-0.11,-7.63
0.56,-2.74,0.18
0.7,-3.42,7.02
0.84,0.47,-0.64
0.98,4.25,-8.62
1.11,5.0,-14.23
1.24,1.08,-9.04
1.38,-4.1,-1.36
1.53,-6.66,6.33
1.66,-3.17,2.24
1.82,3.71,-6.76
1.96,7.45,-13.92
2.1,4.9,-12.75
2.23,-1.44,-5.61
2.38,-7.34,2.34
2.52,-7.88,6.83
2.65,-1.73,-0.64
2.8,5.8,-8.4
2.93,9.32,-14.6
3.08,5.15,-11.39
3.24,-3.78,-3.14
3.4,-9.9,5.13
3.55,-7.24,5.9
3.69,1.62,-1.67
3.84,9.36,-8.83
3.98,10.84,-14.44
4.11,3.96,-7.91
4.26,-5.98,0.35
4.39,-11.7,7.18
4.53,-9.47,8.08
4.66,-0.58,1.06
4.81,9.25,-6.46
4.96,12.89,-13.38
5.12,4.57,-5.98
5.26,-6.62,2.5
5.41,-13.28,9.66
5.54,-10.66,9.36
5.68,-0.04,1.33
5.83,10.51,-6.25
5.96,14.22,-12.27
6.12,5.87,-7.16
6.27,-6.41,0.91
6.42,-14.69,8.83
6.57,-11.16,7.95
6.71,0.72,-0.24
6.84,11.3,-7.1
6.99,15.55,-13.62
7.12,8.86,-8.78
7.25,-3.17,-1.11
7.38,-13.46,6.92
7.53,-15.88,13.36
7.67,-5.8,5.96
7.81,8.1,-2.44
7.95,16.42,-9.98
8.1,13.43,-10.93
8.24,0.07,-3.09
8.39,-13.57,6.39
8.52,-18.79,16.26
8.66,-10.51,12.56
8.8,3.96,4.76
8.94,17.64,-6.99
9.07,20.88,-20.67
9.22,8.42,-15.59
9.37,-11.63,-5.32
9.52,-24.77,15.57
9.65,-22.75,33.79
9.8,-2.16,24.9
9.93,20.48,5.7
10.09,35.24,-35.47
10.23,23.58,-46.74
10.36,-5.22,-31.85
10.51,-38.05,11.2
10.68,-46.22,63.43
10.82,-18.07,61.52
10.96,23.83,33.12
11.1,56.7,-17.21
11.25,57.2,-59.41
11.39,24.05,-51.0
11.53,-27.61,-17.78
11.68,-70.56,43.74
11.83,-71.24,84.05
11.99,-26.1,63.98
12.15,41.0,12.56
12.3,81.76,-45.26
12.43,84.64,-84.64
12.57,52.38,-69.6
12.71,-10.66,-30.39
12.86,-72.86,31.08
13.01,-98.14,83.8
13.17,-79.85,83.54
13.32,-21.6,64.2
13.45,47.92,16.15
13.6,98.96,-42.51
13.73,112.68,-64.86
13.88,93.31,-62.97
14.01,40.28,-51.74
14.16,-39.92,-10.09
14.32,-106.02,53.96
14.47,-129.6,79.69
14.51,-131.15,77.23
14.65,-117.72,73.21
14.8,-68.76,71.44
14.93,10.37,45.33
15.06,79.34,14.87
15.21,126.14,-36.37
15.34,144.97,-49.54
15.5,144.36,-44.73
15.65,115.02,-44.89
15.8,50.51,-39.4
15.94,-33.3,-20.03
16.08,-103.97,21.34
16.21,-139.32,63.7
16.36,-161.17,69.14
16.5,-171.32,62.73
16.64,-174.78,59.84
16.79,-177.55,41.39
16.93,-179.53,18.73
17.08,-180.61,-1.7
17.23,-180.97,-16.2
17.38,-180.83,-24.27
17.51,-180.4,-27.67
17.65,-180.32,-31.15
17.8,-180.29,-33.41
17.95,-180.36,-34.98
18.11,-180.5,-35.09
18.26,-180.68,-33.52
18.4,-180.86,-29.03
18.55,-180.47,-18.59
18.7,-179.96,-5.26
18.84,-179.71,6.1
19.01,-179.32,19.68
19.15,-179.5,26.92
19.31,-179.6,32.81
19.46,-179.71,37.19
19.6,-179.57,41.9
19.74,-179.68,44.41
19.87,-179.57,46.85
20.02,-179.39,48.32
20.16,-179.28,47.92
20.31,-179.1,45.7
20.46,-179.03,39.98
20.59,-179.39,29.53
20.73,-179.78,17.29
20.87,-180.25,4.18
21.01,-180.4,-6.28
21.17,-180.43,-15.67
21.31,-180.32,-21.65
21.47,-180.18,-26.37
21.62,-180.25,-30.92
21.78,-180.14,-33.41
21.93,-180.4,-36.55
22.06,-180.4,-37.22
22.2,-180.61,-37.35
22.34,-180.86,-35.55
22.48,-180.86,-29.95
22.64,-180.32,-16.84
22.78,-179.86,-2.85
22.92,-179.42,9.71
23.06,-179.35,19.42
23.2,-179.39,26.77
23.34,-179.46,32.44
23.47,-179.64,36.37
23.61,-179.75,39.73
23.76,-179.53,44.46
23.89,-179.68,46.27
24.04,-179.71,47.71
24.2,-179.42,49.72
24.35,-179.32,48.95
24.5,-179.17,46.29
24.65,-179.03,40.65
24.78,-179.42,29.91
24.92,-179.82,17.43
25.06,-180.22,4.71
25.2,-180.54,-6.6
25.34,-180.4,-13.8
25.48,-180.18,-19.63
25.62,-180.29,-25.51
25.76,-180.5,-30.59
25.9,-180.43,-32.93
26.03,-180.47,-33.93
26.17,-180.58,-33.37
26.32,-180.54,-29.38
26.47,-180.61,-23.44
26.63,-180.29,-12.16
26.78,-179.86,0.58
26.93,-179.53,13.31
27.08,-179.42,23.1
27.22,-179.5,29.67
27.36,-179.6,34.66
27.49,-179.78,38.13
27.63,-179.71,42.49
27.77,-179.6,46.46
27.92,-179.78,48.48
28.06,-179.42,52.1
28.2,-179.32,53.02
28.36,-179.1,51.82
28.51,-178.92,47.39
28.65,-179.17,37.57
28.79,-179.82,23.7
28.92,-180.18,10.9
28.96,-180.29,7.91
29.09,-180.43,-2.29
29.23,-180.29,-9.4
29.37,-180.11,-15.08
29.53,-180.18,-22.06
29.68,-180.4,-28.31
29.83,-180.22,-31.13
29.98,-180.36,-33.68
30.12,-180.32,-34.05
30.26,-180.47,-34.03
30.39,-180.65,-32.51
30.53,-180.79,-28.33
30.67,-180.43,-18.71
30.83,-179.93,-5.08
30.98,-179.57,7.24
31.11,-179.28,17.61
31.25,-179.42,24.24
31.39,-179.6,29.37
31.53,-179.46,35.34
31.67,-179.57,38.77
31.8,-179.78,40.79
31.95,-179.57,44.89
32.1,-179.39,47.59
32.26,-179.28,47.7
32.41,-179.06,46.11
32.54,-178.88,41.74
32.68,-179.28,31.28
32.82,-179.82,17.9
32.96,-180.29,4.66
33.1,-180.58,-6.34
33.24,-180.36,-13.65
33.4,-180.14,-19.68
33.55,-180.29,-26.02
33.7,-180.11,-29.56
33.85,-180.0,-32.56
33.98,-180.22,-36.45
34.12,-180.5,-39.69
34.26,-180.72,-40.68
34.41,-180.83,-38.53
34.54,-180.83,-33.01
34.68,-180.43,-23.12
34.82,-180.07,-11.22
34.97,-179.71,1.76
35.12,-179.35,14.02
35.25,-179.39,22.06
35.39,-179.57,27.59
35.54,-179.42,34.19
35.68,-179.68,37.25
35.82,-179.64,41.03
35.95,-179.53,44.62
36.09,-179.64,46.29
36.24,-179.71,47.41
36.39,-179.46,49.33
36.53,-179.32,48.8
36.69,-178.96,46.59
36.84,-178.99,39.16
36.98,-179.53,26.92
37.12,-180.0,13.73
37.27,-180.43,-0.03
37.41,-180.36,-9.26
37.55,-180.4,-16.95
37.69,-180.25,-22.01
37.83,-180.18,-26.2
37.96,-180.04,-29.02
38.1,-180.18,-33.01
38.25,-180.29,-36.15
38.39,-180.5,-38.08
38.53,-180.65,-37.94
38.66,-180.83,-35.81
38.82,-180.9,-29.22
38.97,-180.36,-16.21
39.13,-179.71,0.08
39.28,-179.35,13.54
39.44,-179.24,24.63
39.58,-179.42,31.21
39.72,-179.64,35.42
39.86,-179.53,40.33
40.0,-179.53,43.88
40.16,-179.21,47.52
40.3,-179.14,47.06
40.46,-179.03,43.47
40.61,-179.21,35.46
40.75,-179.64,24.07
40.89,-180.11,11.65
41.03,-180.32,1.04
41.16,-180.32,-7.07
41.32,-180.4,-15.4
41.47,-180.11,-19.98
41.63,-180.29,-26.31
41.78,-180.07,-29.22
41.92,-180.11,-32.72
42.07,-180.18,-35.59
42.21,-180.5,-38.52
42.35,-180.58,-38.95
42.48,-180.83,-38.05
42.63,-181.04,-33.97
42.78,-180.5,-22.01
42.92,-179.96,-8.12
43.06,-179.53,5.11
43.21,-179.24,17.3
43.34,-179.35,24.59
43.38,-179.53,25.43
43.53,-179.53,32.52
43.68,-179.53,37.64
43.82,-179.78,40.38
43.96,-179.6,44.57
44.09,-179.6,47.22
44.25,-179.78,48.53
44.4,-179.39,51.88
44.56,-179.42,51.85
44.71,-179.21,51.0
44.84,-179.03,47.94
44.98,-179.06,41.47
45.12,-179.42,30.47
45.27,-179.96,16.41
45.41,-180.4,3.59
45.54,-180.36,-5.26
45.68,-180.29,-12.35
45.82,-180.14,-17.86
45.96,-180.14,-23.25
46.12,-180.29,-29.14
46.26,-180.07,-31.72
46.42,-180.25,-35.28
46.57,-180.43,-37.27
46.71,-180.58,-37.38
46.86,-180.76,-35.26
47.0,-180.83,-29.67
47.14,-180.32,-18.41
47.28,-179.96,-6.17
47.42,-179.6,5.83
47.56,-179.42,16.41
47.69,-179.42,24.95
47.84,-179.53,31.31
47.98,-179.39,37.32
