Time,Data1,Data2
0.01,0.04,0.0
0.15,0.07,-0.34
0.29,-0.07,0.06
0.43,0.58,-3.22
0.56,1.22,-8.49
0.71,-0.22,-6.92
0.85,-2.84,1.55
0.98,-2.92,5.58
1.13,1.12,-2.72
1.27,4.28,-10.37
1.41,3.71,-12.9
1.57,-1.3,-5.78
1.71,-5.4,2.28
1.87,-4.82,5.5
2.02,1.48,-3.2
2.17,6.3,-10.73
2.31,6.26,-13.99
2.45,0.47,-7.53
2.59,-5.51,-0.08
2.73,-8.35,7.39
2.86,-4.28,3.17
3.0,3.38,-5.19
3.15,8.64,-12.5
3.28,7.7,-14.12
3.42,0.4,-7.18
3.57,-7.34,0.98
3.71,-10.22,8.36
3.85,-4.36,3.25
4.01,5.51,-5.72
4.15,10.91,-12.88
4.3,7.85,-11.94
4.44,-1.55,-3.91
4.57,-9.43,3.59
4.71,-11.77,10.01
4.85,-4.82,2.23
4.99,5.51,-6.39
5.15,12.2,-13.99
5.28,9.58,-13.52
5.42,-0.29,-6.2
5.58,-10.69,2.68
5.73,-12.67,8.86
5.89,-2.63,-0.45
6.06,9.94,-10.06
6.19,13.9,-15.96
6.33,7.78,-11.6
6.46,-2.99,-4.18
6.61,-12.67,4.17
6.74,-14.04,9.2
6.88,-4.57,0.77
7.01,6.88,-7.1
7.16,14.62,-14.12
7.31,10.98,-13.07
7.47,-2.12,-4.69
7.61,-13.18,4.15
7.76,-15.37,10.49
7.89,-6.37,3.0
8.03,7.2,-5.77
8.19,16.2,-13.92
8.34,11.63,-12.75
8.49,-1.62,-5.05
8.63,-14.11,4.36
8.79,-17.1,13.2
8.94,-4.5,4.01
9.1,11.66,-6.65
9.26,19.58,-19.56
9.4,11.45,-16.42
9.54,-4.97,-7.88
9.68,-18.43,5.26
9.81,-23.0,25.17
9.95,-10.15,23.71
10.11,12.74,10.56
10.26,28.76,-17.98
10.42,23.58,-39.27
10.56,-2.05,-28.1
10.7,-28.73,1.54
10.84,-41.58,44.27
10.98,-25.85,58.62
11.13,12.67,34.4
11.28,47.84,-15.11
11.43,51.88,-58.34
11.57,22.82,-49.76
11.71,-23.65,-17.13
11.85,-61.06,36.79
11.99,-65.56,79.04
12.14,-31.32,66.75
12.29,28.73,23.87
12.43,71.24,-32.06
12.58,76.5,-76.89
12.72,44.86,-69.38
12.86,-14.33,-37.89
13.01,-72.14,22.16
13.16,-93.17,75.83
13.31,-72.68,77.03
13.44,-18.72,52.04
13.59,53.03,-2.07
13.72,94.1,-54.11
13.86,103.39,-75.58
14.01,72.83,-73.89
14.17,2.66,-47.31
14.3,-68.58,7.93
14.45,-111.64,63.64
14.59,-121.54,73.88
14.63,-118.76,74.05
14.78,-85.68,73.94
14.92,-18.4,49.81
15.07,68.51,2.34
15.22,117.9,-51.06
15.36,136.37,-64.87
15.52,126.11,-62.31
15.68,77.33,-61.59
15.83,-7.42,-38.73
15.97,-83.81,-6.68
16.11,-130.39,45.71
16.26,-152.6,59.01
16.4,-158.51,52.44
16.56,-146.74,51.8
16.71,-108.79,51.54
16.86,-35.82,45.41
16.99,46.15,41.31
17.15,117.22,-2.77
17.3,152.03,-42.99
17.45,173.56,-38.97
17.59,176.44,-89.58
17.74,175.36,-148.09
17.89,173.12,-198.1
18.02,180.36,-175.87
18.16,191.12,-136.51
18.31,208.73,-105.3
18.46,245.12,-83.65
18.6,310.43,-70.95
18.74,38.41,-61.12
18.88,106.96,-48.72
19.02,141.73,-39.37
19.15,153.11,-33.77
19.31,145.01,-28.84
19.46,112.1,-24.99
19.62,36.04,-21.55
19.77,304.85,-20.06
19.91,245.95,-19.43
20.04,219.06,-18.67
20.18,215.28,-17.9
20.32,232.52,-17.3
20.46,277.92,-16.94
20.61,2.59,-32.06
20.75,80.42,-52.91
20.89,131.72,-103.2
21.05,161.03,-111.32
21.2,172.8,-118.24
21.35,172.94,-154.41
21.48,174.6,-156.36
21.62,176.36,-140.67
21.76,178.45,-111.21
21.9,180.07,-78.16
22.04,181.19,-47.52
22.18,181.44,-24.5
22.31,181.37,-7.71
22.46,181.22,5.32
22.61,180.9,13.51
22.77,180.54,18.78
22.92,180.22,21.87
23.05,179.96,24.66
23.19,180.18,29.72
23.33,180.04,32.85
23.48,180.4,38.61
23.63,180.22,40.97
23.77,180.0,42.76
23.9,180.29,46.99
24.04,180.36,49.32
24.18,180.47,51.01
24.34,180.79,52.31
24.47,180.94,50.55
24.63,181.01,45.13
24.78,180.72,34.66
24.92,180.25,21.71
25.06,179.78,8.06
25.21,179.35,-5.24
25.35,179.6,-12.45
25.49,179.78,-18.02
25.63,179.82,-23.28
25.77,179.89,-27.75
25.9,179.82,-32.35
26.04,179.86,-35.71
26.18,179.86,-38.39
26.34,179.6,-41.67
26.48,179.46,-42.55
26.62,179.28,-41.93
26.76,179.28,-38.12
26.9,179.53,-30.68
27.04,179.68,-21.26
27.17,180.04,-9.47
27.32,180.36,2.98
27.46,180.61,13.46
27.61,180.5,20.89
27.77,180.47,27.33
27.92,180.36,31.4
28.05,180.43,34.98
28.19,180.61,37.75
28.34,180.61,38.12
28.49,180.79,37.04
28.62,180.72,32.88
28.76,180.76,27.19
28.9,180.36,17.18
29.04,179.89,5.74
29.07,179.78,3.16
29.21,179.71,-5.32
29.35,179.82,-11.73
29.48,179.96,-16.95
29.63,179.64,-24.0
29.78,179.71,-27.75
29.94,179.6,-30.75
30.09,179.46,-31.72
30.23,179.28,-30.71
30.38,179.21,-26.0
30.54,179.6,-14.72
30.69,180.04,-1.89
30.83,180.5,10.43
30.97,180.79,20.78
31.1,180.65,26.95
31.24,180.36,31.15
31.39,180.43,36.26
31.53,180.36,39.29
31.66,180.43,42.54
31.8,180.61,45.26
31.95,180.68,45.63
32.1,180.72,44.08
32.25,180.9,40.78
32.41,180.76,32.56
32.55,180.36,21.15
32.69,179.89,8.76
32.83,179.53,-2.56
32.97,179.57,-10.24
33.11,179.86,-14.71
33.25,179.93,-20.28
33.4,179.64,-26.48
33.54,179.78,-29.13
33.68,179.68,-31.76
33.82,179.6,-33.01
33.96,179.5,-32.69
34.1,179.32,-30.57
34.24,179.28,-25.64
34.38,179.5,-16.36
34.51,180.07,-3.4
34.65,180.5,9.18
34.79,180.79,19.87
34.94,180.47,26.13
35.09,180.47,32.44
