Time,Data1,Data2
0.16,0.11,-0.58
0.3,0.11,-0.72
0.45,-0.61,2.56
0.59,-1.15,7.43
0.72,0.47,4.17
0.86,2.52,-2.77
0.99,2.66,-7.21
1.14,-1.12,0.75
1.28,-4.03,8.27
1.42,-3.28,10.19
1.57,1.33,2.76
1.7,4.93,-4.33
1.84,5.04,-8.24
1.98,0.14,-0.32
2.13,-5.29,8.22
2.29,-5.98,12.79
2.44,0.11,3.94
2.59,5.76,-4.12
2.73,7.31,-10.01
2.87,2.16,-4.41
3.0,-4.21,2.68
3.15,-8.24,9.55
3.29,-5.54,8.67
3.42,1.4,1.09
3.57,7.85,-6.47
3.7,9.07,-11.71
3.84,2.77,-5.54
4.0,-6.16,2.95
4.14,-10.26,9.9
4.28,-5.87,6.38
4.41,2.45,-1.62
4.56,9.58,-8.86
4.69,10.4,-13.28
4.83,3.02,-7.31
4.98,-6.52,0.3
5.11,-11.59,6.79
5.25,-8.53,6.17
5.4,1.33,-1.75
5.53,9.61,-8.27
5.68,12.24,-14.32
5.84,3.53,-7.07
5.99,-7.99,1.54
6.15,-13.32,9.08
6.32,-5.54,2.31
6.45,4.93,-5.53
6.59,12.82,-12.5
6.72,12.13,-14.74
6.87,2.38,-7.75
7.01,-9.0,-0.03
7.16,-14.47,7.1
7.31,-8.03,3.36
7.44,3.28,-4.26
7.59,13.1,-11.31
7.73,14.15,-16.04
7.87,4.18,-8.99
8.02,-8.6,-1.17
8.15,-15.59,6.1
8.29,-11.99,4.95
8.45,1.84,-4.81
8.59,13.28,-12.3
8.74,15.91,-18.09
8.88,6.44,-11.82
9.04,-8.5,-3.24
9.18,-17.24,6.73
9.32,-13.43,7.93
9.47,0.58,-0.53
9.6,13.46,-9.1
9.74,19.08,-18.65
9.88,11.34,-14.34
10.02,-4.43,-6.47
10.15,-17.32,4.42
10.3,-21.38,21.47
10.44,-8.17,15.83
10.59,11.38,4.02
10.75,26.39,-22.3
10.89,21.28,-37.59
11.04,-1.73,-26.87
11.18,-27.11,1.83
11.32,-37.22,41.05
11.47,-20.81,52.22
11.61,14.33,31.32
11.75,43.09,-9.69
11.89,48.53,-51.45
12.04,20.59,-49.78
12.18,-22.1,-23.26
12.32,-57.06,26.84
12.46,-61.09,68.25
12.59,-31.64,60.42
12.73,19.12,30.11
12.87,64.04,-23.14
13.02,74.74,-72.55
13.18,39.24,-64.71
13.34,-25.02,-25.94
13.48,-75.53,33.21
13.62,-88.56,81.76
13.77,-62.75,78.99
13.92,0.9,46.88
14.05,61.74,-4.04
14.2,96.48,-57.58
14.33,95.18,-68.33
14.46,61.27,-65.34
14.62,-11.63,-39.85
14.66,-34.67,-23.28
14.82,-99.04,42.15
14.98,-119.2,71.33
15.14,-99.5,70.32
15.28,-40.72,59.6
15.44,46.91,19.21
15.57,103.86,-31.47
15.71,131.08,-65.21
15.86,134.82,-57.82
16.0,108.68,-57.76
16.15,44.89,-52.62
16.28,-36.29,-35.06
16.43,-104.94,12.29
16.56,-137.05,53.67
16.71,-154.76,56.29
16.86,-153.43,53.27
17.0,-133.42,53.42
17.15,-84.49,53.39
17.31,9.14,33.5
17.46,90.97,9.53
17.61,138.89,-42.96
17.76,161.68,-51.75
17.9,172.12,-51.09
18.04,174.82,-61.88
18.18,176.62,-60.29
18.32,177.88,-48.85
18.46,179.32,-29.74
18.6,180.43,-9.21
18.75,180.94,8.19
18.9,181.04,21.42
19.05,180.58,27.38
19.19,180.47,32.56
19.33,180.18,35.57
19.47,180.22,39.81
19.6,180.58,44.97
19.74,180.61,47.22
19.88,180.58,47.59
20.02,180.83,47.71
20.17,181.08,45.23
20.31,180.94,37.51
20.45,180.5,26.15
20.58,180.0,14.0
20.73,179.57,0.46
20.86,179.57,-8.12
21.0,179.71,-14.5
21.15,179.82,-20.08
21.3,179.86,-25.2
21.43,179.89,-29.0
21.57,179.96,-32.14
21.72,179.93,-35.6
21.86,179.89,-38.47
22.0,179.82,-40.76
22.13,179.6,-42.7
22.27,179.39,-43.2
22.42,179.17,-41.34
22.55,179.21,-36.27
22.7,179.35,-26.07
22.85,179.93,-11.55
22.99,180.32,2.05
23.13,180.79,15.37
23.28,180.68,25.19
23.43,180.83,33.21
23.56,180.76,37.33
23.7,180.72,39.4
23.84,180.65,39.4
23.98,180.76,38.65
24.11,180.76,35.39
24.26,180.83,29.88
24.4,180.5,20.52
24.55,180.07,8.54
24.69,179.71,-2.69
24.82,179.57,-11.39
24.96,179.68,-17.24
25.11,179.89,-21.33
25.26,179.89,-25.94
25.4,179.82,-30.25
25.55,179.75,-33.21
25.69,179.5,-35.86
25.83,179.39,-36.08
25.97,179.17,-34.93
26.11,179.21,-29.02
26.26,179.57,-18.33
26.4,180.07,-5.45
26.55,180.5,7.64
26.69,180.61,17.48
26.82,180.61,25.31
26.96,180.36,30.35
27.1,180.68,36.88
27.24,180.65,40.87
27.37,180.72,43.12
27.53,180.72,43.44
27.68,180.9,42.12
27.82,181.12,38.66
27.97,180.68,28.42
28.11,180.25,15.86
28.25,179.75,2.93
28.39,179.53,-7.26
28.53,179.53,-14.88
28.67,179.71,-19.92
28.81,179.89,-23.86
28.96,179.89,-27.78
28.99,179.96,-28.2
29.13,179.86,-31.93
29.27,179.82,-34.4
29.41,179.68,-36.45
29.55,179.5,-37.46
29.7,179.24,-36.88
29.85,178.99,-32.93
30.0,179.5,-21.13
30.15,180.11,-6.36
30.29,180.47,6.41
30.42,180.5,16.58
30.56,180.65,25.68
30.7,180.54,31.44
30.84,180.4,35.55
30.97,180.32,39.13
31.11,180.36,42.57
31.24,180.5,45.55
31.4,180.4,46.14
31.54,180.58,46.75
31.69,180.76,45.78
31.84,180.76,41.5
32.0,180.68,33.47
32.15,180.32,22.09
32.29,179.96,10.72
32.43,179.75,-0.64
32.58,179.6,-10.19
32.72,179.64,-16.89
32.86,179.89,-20.97
32.99,179.89,-25.7
33.13,179.71,-30.62
33.27,179.68,-33.45
33.43,179.42,-35.97
33.58,179.28,-35.22
33.71,179.1,-31.85
33.85,179.42,-22.93
33.99,179.93,-11.09
34.13,180.11,-0.19
34.28,180.36,11.26
34.42,180.58,21.6
