Time,Data1,Data2
0.01,0.0,0.0
0.14,0.0,-0.19
0.28,0.07,-0.69
0.42,0.97,-6.1
0.58,1.48,-13.41
0.72,-1.3,-8.08
0.87,-3.82,0.46
1.01,-2.7,2.69
1.14,1.66,-4.58
1.27,5.22,-12.71
1.43,4.54,-16.15
1.58,-1.94,-6.54
1.74,-7.02,3.49
1.89,-5.33,5.24
2.05,2.41,-4.6
2.21,8.32,-14.44
2.36,6.55,-16.61
2.5,-1.55,-7.69
2.65,-8.71,1.6
2.79,-9.68,7.63
2.92,-2.84,0.46
3.07,6.52,-9.02
3.21,11.48,-17.7
3.37,6.7,-16.55
3.51,-3.71,-8.11
3.65,-11.81,0.77
3.8,-11.48,4.71
3.93,-2.7,-2.52
4.06,7.78,-11.14
4.21,14.04,-19.84
4.36,9.0,-19.11
4.52,-4.18,-10.48
4.67,-14.36,-1.17
4.83,-12.6,0.85
4.97,-0.58,-8.12
5.12,11.81,-17.37
5.26,16.42,-25.64
5.41,7.16,-19.42
5.56,-6.95,-10.48
5.7,-16.56,-1.75
5.85,-14.36,-0.27
5.98,-2.41,-8.62
6.12,11.84,-18.09
6.25,18.22,-25.88
6.4,12.31,-24.56
6.55,-4.1,-15.12
6.7,-17.06,-4.98
6.84,-18.79,2.96
7.0,-4.28,-7.24
7.16,13.43,-17.96
7.3,20.88,-26.66
7.44,13.14,-23.42
7.57,-2.41,-15.51
7.72,-18.18,-3.93
7.85,-23.0,9.45
8.0,-11.09,4.28
8.14,8.82,-6.12
8.27,23.04,-19.39
8.42,23.8,-30.67
8.55,8.1,-23.01
8.71,-16.13,-9.1
8.85,-30.46,16.97
9.0,-23.11,28.12
9.16,4.75,16.13
9.3,31.18,-12.24
9.44,39.35,-46.53
9.59,19.44,-45.94
9.72,-12.92,-30.25
9.86,-42.84,9.31
10.0,-49.54,48.82
10.14,-22.93,44.4
10.28,18.07,23.39
10.42,54.4,-23.78
10.57,60.23,-65.59
10.73,23.72,-56.73
10.88,-31.86,-22.48
11.04,-71.71,36.58
11.18,-69.08,67.05
11.33,-27.68,55.07
11.47,32.47,18.23
11.62,79.2,-40.06
11.76,88.13,-81.47
11.89,62.21,-71.46
12.03,4.93,-44.86
12.18,-63.58,14.53
12.32,-98.39,69.34
12.46,-96.08,71.73
12.6,-59.72,67.61
12.74,8.46,42.78
12.9,86.69,-25.19
13.05,119.45,-67.2
13.21,116.39,-63.82
13.35,76.18,-62.13
13.52,-11.59,-33.07
13.67,-86.72,13.52
13.81,-128.05,62.49
13.96,-144.97,60.87
14.12,-134.21,58.11
14.26,-94.14,58.03
14.4,-22.97,43.64
14.55,63.86,27.81
14.68,119.88,-24.03
14.72,130.82,-36.43
14.87,158.72,-49.86
15.01,171.36,-55.28
15.16,173.09,-87.8
15.31,175.54,-90.65
15.46,177.05,-79.82
15.61,178.99,-55.12
15.76,180.29,-29.87
15.92,181.04,-6.57
16.07,181.01,7.74
16.21,180.83,17.58
16.34,180.68,24.48
16.48,180.36,28.62
16.62,180.25,32.8
16.76,180.58,37.8
16.92,180.58,40.39
17.06,180.54,40.6
17.2,180.72,40.14
17.34,180.68,36.91
17.49,180.76,31.45
17.63,180.5,22.01
17.77,180.04,10.25
17.91,179.64,-1.36
18.05,179.32,-11.23
18.19,179.75,-15.46
18.33,179.93,-20.17
18.47,179.86,-25.28
18.61,179.86,-29.29
18.75,179.86,-32.85
18.89,179.64,-37.43
19.05,179.6,-39.72
19.21,179.42,-40.6
19.36,179.06,-40.28
19.52,179.03,-34.19
19.67,179.6,-21.58
19.8,180.11,-8.35
19.94,180.47,3.81
20.08,180.54,13.39
20.22,180.29,20.0
20.36,180.58,27.89
20.5,180.29,32.36
20.65,180.43,37.73
20.81,180.32,40.95
20.96,180.18,42.67
21.1,180.47,45.84
21.24,180.61,47.07
21.39,180.76,46.56
21.53,180.97,44.21
21.68,180.97,37.64
21.83,180.54,25.88
21.96,179.89,12.14
22.11,179.46,-1.2
22.26,179.46,-10.45
22.4,179.64,-16.1
22.54,179.64,-21.53
22.68,179.93,-24.93
22.83,179.86,-29.88
22.97,179.75,-33.92
23.12,179.89,-36.51
23.27,179.75,-39.83
23.4,179.6,-42.44
23.55,179.5,-43.58
23.7,179.24,-43.72
23.84,178.99,-41.4
23.98,179.21,-33.13
24.13,179.68,-20.46
24.27,180.11,-7.4
24.42,180.47,6.01
24.56,180.83,17.27
24.71,180.36,22.75
24.84,180.25,28.02
24.99,180.18,33.12
25.13,180.32,38.15
25.27,180.32,41.93
25.4,180.54,45.7
25.54,180.61,47.12
25.68,180.65,46.94
25.83,180.9,45.29
25.97,181.12,41.0
26.1,180.65,30.57
26.24,180.22,18.09
26.39,179.71,3.6
26.54,179.21,-9.71
26.69,179.32,-17.14
26.85,179.5,-21.98
26.99,179.6,-25.11
27.14,179.68,-26.93
27.29,179.68,-27.97
27.45,179.6,-28.02
27.6,179.5,-26.48
27.73,179.35,-23.46
27.88,179.32,-17.06
28.03,179.75,-5.64
28.17,180.14,6.09
28.31,180.65,18.23
28.44,180.68,25.84
28.59,180.25,29.98
28.73,180.29,35.06
28.87,180.14,38.6
29.0,180.07,42.04
29.15,180.36,47.14
29.19,180.5,48.84
29.35,180.65,51.67
29.49,180.76,51.91
29.63,180.94,50.41
29.78,181.04,44.89
29.93,180.58,32.8
30.06,180.14,19.6
30.2,179.64,5.61
30.34,179.24,-6.87
30.49,179.24,-15.57
30.65,179.71,-19.51
30.79,179.93,-23.14
30.94,179.93,-27.14
31.09,179.86,-31.11
31.25,179.71,-35.02
31.41,179.53,-37.86
31.56,179.35,-38.63
31.69,179.21,-36.82
31.83,179.1,-32.43
31.97,179.42,-22.83
32.12,179.96,-9.2
32.27,180.43,4.44
32.4,180.65,15.04
32.54,180.58,22.16
32.68,180.22,26.55
32.83,180.29,32.72
32.96,180.36,37.62
33.1,180.18,40.39
33.24,180.22,43.56
33.38,180.36,46.61
33.52,180.4,48.37
33.66,180.4,48.79
33.8,180.61,48.92
33.94,180.79,47.11
34.08,181.01,42.3
34.21,180.76,33.37
34.37,180.14,18.02
34.52,179.5,2.53
34.67,179.39,-8.43
34.82,179.64,-15.0
34.97,179.89,-20.6
35.12,179.82,-26.45
35.26,179.6,-32.12
35.41,179.71,-35.3
35.56,179.71,-38.16
35.69,179.71,-39.86
35.83,179.57,-41.18
35.98,179.32,-41.47
36.13,179.14,-38.89
36.27,179.14,-32.64
36.41,179.5,-20.65
36.56,180.11,-5.98
36.7,180.43,6.54
36.84,180.79,17.99
36.98,180.5,23.91
37.11,180.18,28.18
37.27,180.61,36.26
37.43,180.32,39.16
37.58,180.29,41.99
37.74,180.29,43.92
37.88,180.61,46.19
38.02,180.76,45.86
38.17,180.94,43.16
38.32,180.94,36.63
38.46,180.5,25.48
38.6,179.93,11.15
38.75,179.5,-2.31
38.89,179.28,-12.3
39.04,179.46,-18.22
39.19,179.71,-21.73
39.32,179.89,-24.1
39.46,179.78,-27.4
39.6,179.5,-30.7
39.75,179.5,-31.07
39.89,179.35,-30.22
40.02,179.21,-27.29
40.16,179.32,-20.56
40.3,179.82,-9.31
40.44,180.36,2.82
40.57,180.47,12.13
40.71,180.32,18.95
40.85,180.29,25.07
40.99,180.32,30.84
41.13,180.25,35.63
41.28,180.18,39.21
41.42,180.14,42.33
41.56,180.29,45.98
41.7,180.4,48.56
41.83,180.54,50.04
41.99,180.83,50.28
42.14,181.04,47.3
42.28,180.86,39.65
42.41,180.47,28.23
42.56,180.04,14.28
42.71,179.53,-0.11
42.86,179.24,-11.73
43.01,179.46,-18.07
43.17,179.64,-22.74
43.31,179.86,-25.89
43.46,180.04,-28.73
43.61,179.93,-32.69
43.64,179.89,-33.49
43.8,179.86,-36.9
43.95,179.78,-39.8
44.1,179.53,-42.71
44.25,179.35,-43.31
44.38,179.14,-41.69
44.53,179.14,-35.38
44.68,179.5,-23.46
44.82,180.11,-9.4
44.96,180.32,2.76
45.1,180.58,14.76
45.25,180.47,22.85
45.39,180.4,29.18
45.53,180.29,34.38
45.67,180.36,39.65
45.81,180.18,42.96
45.95,180.5,47.62
46.09,180.29,48.68
46.23,180.22,49.38
46.36,180.36,50.84
46.5,180.54,51.45
46.65,180.86,50.69
46.8,180.94,46.34
46.96,180.76,36.69
47.1,180.25,23.63
47.24,179.82,10.61
47.39,179.39,-2.48
47.54,179.46,-10.91
47.69,179.75,-16.01
47.83,179.68,-21.58
47.98,179.68,-25.56
48.12,179.68,-27.99
48.27,179.57,-29.64
48.42,179.42,-29.53
48.55,179.21,-27.73
48.69,179.28,-21.82
48.85,179.71,-10.3
49.0,180.18,2.32
49.14,180.54,13.41
49.27,180.68,21.95
49.41,180.43,26.64
49.55,180.32,30.78
49.69,180.18,33.89
49.83,180.25,37.49
49.97,180.18,39.4
50.11,180.29,41.56
50.25,180.22,42.28
50.38,180.43,43.48
50.52,180.65,43.66
50.66,180.72,41.06
50.81,181.08,36.9
50.94,180.58,25.96
51.08,179.96,12.35
51.22,179.75,0.77
51.37,179.6,-9.95
51.52,179.64,-18.04
51.67,179.64,-24.74
51.8,179.71,-29.3
51.94,179.71,-33.2
52.08,179.5,-36.88
52.22,179.46,-38.2
52.35,179.35,-38.07
52.5,179.24,-35.31
52.64,179.17,-29.58
52.78,179.5,-19.07
52.91,180.14,-5.08
53.06,180.47,7.56
53.2,180.61,17.48
53.36,180.47,24.99
53.52,180.25,30.47
53.67,180.47,36.42
53.81,180.36,39.49
53.96,180.04,40.41
54.1,179.96,42.09
54.24,180.18,45.86
54.37,179.86,46.7
54.51,180.25,51.09
54.65,180.5,54.72
54.81,180.65,56.35
54.95,180.86,56.08
55.09,181.04,52.95
55.23,180.94,45.26
55.37,180.5,33.13
55.51,180.04,19.15
55.66,179.5,3.81
55.79,179.32,-7.08
55.93,179.42,-14.04
56.07,179.6,-18.67
56.21,179.71,-22.4
56.34,179.75,-25.43
56.48,179.71,-27.91
56.62,179.57,-29.64
56.78,179.46,-29.58
56.92,179.35,-27.45
57.06,179.42,-22.37
57.21,179.46,-14.77
57.36,179.89,-3.08
57.5,180.29,8.49
57.63,180.5,18.39
57.77,180.65,26.42
57.91,180.4,30.7
57.94,180.32,31.42
58.08,180.14,34.67
58.22,180.18,38.39
58.35,180.0,40.79
58.51,180.18,45.37
58.66,180.54,50.17
58.8,180.58,51.69
58.95,180.72,51.83
59.09,180.86,49.73
59.23,181.15,45.28
59.37,180.79,34.37
59.51,180.07,19.24
59.65,179.5,4.76
59.78,179.32,-6.33
59.92,179.6,-12.56
60.07,179.68,-18.97
60.22,179.53,-24.83
60.38,179.6,-28.13
60.52,179.57,-29.96
60.66,179.6,-30.17
60.8,179.46,-29.72
60.95,179.24,-27.59
61.1,179.28,-21.26
61.23,179.57,-11.7
61.37,180.0,0.0
61.51,180.4,12.02
61.66,180.36,21.26
61.79,180.4,29.11
61.93,180.5,36.08
62.07,180.43,40.95
62.21,180.29,44.33
62.34,180.14,46.78
62.49,180.04,49.11
62.63,180.25,52.63
62.78,180.32,54.86
62.92,180.36,55.87
63.06,180.54,56.7
63.2,180.83,56.29
