Time,Data1,Data2
0.01,0.0,0.0
0.17,0.04,-0.29
0.35,-0.04,-0.22
0.51,0.0,-0.42
0.67,-0.14,0.29
0.82,0.0,-0.03
0.99,1.37,-7.16
1.15,1.22,-12.71
1.31,-2.45,-4.02
1.47,-4.36,5.37
1.63,0.04,-0.99
1.79,5.0,-11.28
1.96,5.36,-18.33
2.11,-1.15,-10.13
2.28,-7.38,0.51
2.43,-6.19,3.36
2.6,2.7,-8.38
2.77,9.04,-18.95
2.94,5.8,-19.26
3.1,-4.32,-9.12
3.26,-10.62,0.62
3.43,-6.77,1.15
3.59,4.86,-9.66
3.76,12.2,-19.93
3.93,7.06,-18.52
4.1,-5.76,-8.04
4.25,-13.43,1.49
4.42,-8.46,0.08
4.58,4.43,-10.38
4.74,14.15,-20.68
4.91,10.04,-20.8
5.08,-4.5,-10.51
5.25,-15.48,1.41
5.43,-10.37,1.03
5.6,5.72,-10.64
5.76,16.6,-20.99
5.93,11.41,-19.8
6.1,-5.15,-9.12
6.25,-17.57,4.57
6.41,-15.84,12.19
6.58,2.09,1.04
6.74,18.4,-14.52
6.92,19.69,-31.44
7.08,-0.94,-20.2
7.26,-23.29,4.39
7.42,-28.58,41.31
7.57,-6.37,35.83
7.73,24.52,9.69
7.89,40.82,-39.45
8.05,22.18,-53.32
8.21,-19.3,-29.59
8.38,-52.7,29.16
8.54,-45.43,65.34
8.7,0.79,43.26
8.87,54.22,-16.05
9.03,68.15,-72.21
9.2,29.45,-61.57
9.37,-37.76,-10.93
9.54,-80.5,59.68
9.72,-68.62,87.14
9.88,-9.79,58.51
10.04,61.02,-4.82
10.2,94.1,-66.12
10.37,78.88,-71.62
10.52,22.54,-47.89
10.69,-63.97,21.25
10.89,-108.11,89.08
11.05,-94.28,86.78
11.23,-26.28,68.11
11.4,67.46,3.52
11.57,117.72,-60.85
11.74,124.31,-65.55
11.91,85.57,-65.37
12.07,0.94,-43.68
12.23,-83.84,0.62
12.4,-133.85,61.75
12.57,-152.1,64.44
12.72,-146.2,59.55
12.88,-112.9,59.41
13.05,-29.05,46.59
13.23,73.01,25.23
13.4,134.28,-39.11
13.57,162.61,-54.6
13.73,171.86,-72.08
13.9,175.07,-82.37
14.08,176.9,-73.85
14.24,178.99,-49.11
14.4,180.43,-22.72
14.57,181.15,-0.05
14.74,180.86,12.9
14.89,180.65,21.07
15.05,180.4,26.98
15.21,180.43,32.8
15.4,180.4,37.73
15.57,180.36,39.88
15.74,180.43,41.37
15.91,180.68,41.95
16.07,180.86,39.62
16.23,180.83,33.07
16.38,180.32,21.49
16.54,179.86,8.35
16.69,179.6,-2.74
16.74,179.39,-7.07
16.91,179.53,-14.82
17.08,179.75,-20.24
17.25,179.75,-25.06
17.42,179.68,-28.71
17.59,179.5,-30.86
17.75,179.28,-30.91
17.92,179.42,-25.73
18.09,179.53,-17.16
18.26,180.07,-3.8
18.42,180.18,7.27
18.58,180.61,19.29
18.75,180.58,27.29
18.93,180.47,32.56
19.1,180.25,35.18
19.27,180.18,37.48
19.44,180.5,40.09
19.6,180.65,40.17
19.78,180.83,37.41
19.94,180.61,30.14
20.11,180.11,18.28
20.28,179.82,7.32
20.43,179.96,0.27
20.59,179.86,-8.14
20.75,180.0,-14.04
20.92,179.71,-22.27
21.09,179.86,-26.98
21.23,179.68,-31.74
21.41,179.78,-34.67
21.59,179.6,-36.75
21.76,179.42,-36.63
21.93,179.28,-33.21
22.1,179.28,-25.28
22.27,179.89,-10.45
22.44,180.43,4.89
22.61,180.58,16.79
22.78,180.4,24.32
22.95,180.47,31.15
23.1,180.18,34.1
23.27,180.22,38.49
23.43,180.25,42.14
23.6,180.22,44.69
23.77,180.32,47.02
23.95,180.61,48.93
24.12,180.72,47.62
24.29,180.97,43.5
24.46,180.54,32.08
24.63,180.07,18.19
24.81,179.75,3.69
24.98,179.42,-9.0
25.14,179.5,-17.62
25.31,179.68,-23.14
25.48,179.78,-27.19
25.65,179.86,-30.31
25.82,179.82,-32.99
25.99,179.64,-35.06
26.17,179.42,-35.31
26.34,179.32,-31.84
26.51,179.28,-24.1
26.68,179.93,-9.4
26.85,180.4,5.13
27.02,180.58,17.21
27.19,180.47,25.14
27.36,180.5,32.46
27.52,180.32,37.33
27.69,180.25,41.32
27.86,180.29,45.21
28.03,180.54,49.03
28.2,180.65,50.5
28.37,180.76,49.68
28.54,180.94,45.84
28.71,180.65,35.79
28.88,180.25,22.25
29.05,179.6,6.25
29.22,179.53,-5.13
29.37,179.78,-11.41
29.54,179.78,-18.2
