Time,Data1,Data2
0.01,0.07,0.0
0.16,0.0,-0.11
0.31,0.04,-0.43
0.49,-0.14,0.22
0.66,-0.07,0.26
0.82,1.15,-5.9
0.99,1.62,-13.3
1.16,-2.3,-3.8
1.32,-4.28,5.4
1.47,-0.36,-0.32
1.64,4.79,-10.65
1.79,4.93,-15.06
1.96,-1.22,-7.19
2.13,-6.59,2.18
2.3,-4.9,4.28
2.47,3.06,-5.5
2.63,8.24,-14.52
2.79,5.04,-13.96
2.96,-4.07,-4.57
3.11,-9.58,4.53
3.28,-5.47,3.17
3.45,4.97,-7.42
3.62,10.87,-16.76
3.79,5.26,-13.71
3.96,-6.16,-3.56
4.12,-12.17,6.09
4.28,-6.23,2.69
4.44,5.54,-7.19
4.58,12.71,-15.41
4.75,8.93,-15.11
4.93,-5.15,-4.61
5.1,-13.97,5.19
5.26,-8.82,3.41
5.43,5.44,-7.31
5.6,14.72,-16.68
5.77,9.4,-14.32
5.92,-4.39,-4.58
6.08,-15.05,6.2
6.25,-12.17,7.79
6.4,2.12,-2.52
6.56,14.94,-13.86
6.73,15.08,-19.92
6.89,0.86,-10.21
7.03,-13.54,0.88
7.2,-19.91,19.84
7.37,-5.51,14.77
7.54,15.41,-0.34
7.72,25.7,-33.39
7.88,9.36,-32.59
8.04,-17.6,-12.34
8.2,-35.24,31.07
8.36,-22.57,49.0
8.53,16.81,22.82
8.7,46.01,-29.32
8.86,38.3,-59.43
9.03,-7.96,-36.95
9.2,-53.03,21.45
9.38,-56.48,69.92
9.55,-9.11,50.26
9.71,47.45,-0.98
9.86,74.23,-57.74
10.02,54.5,-69.41
10.19,-6.95,-37.78
10.35,-68.18,27.22
10.53,-86.0,90.77
10.7,-45.5,73.08
10.86,26.5,23.18
11.03,86.47,-46.62
11.21,91.98,-77.96
11.36,48.2,-69.39
11.52,-30.38,-25.8
11.69,-94.36,41.87
11.85,-112.1,71.96
12.03,-78.95,69.95
12.22,15.16,40.01
12.38,93.38,-18.89
12.55,128.23,-63.35
12.72,125.71,-60.77
12.87,83.05,-61.19
13.03,0.61,-33.97
13.18,-84.13,7.03
13.34,-131.58,62.33
13.52,-151.02,66.49
13.69,-141.19,63.35
13.86,-95.8,63.43
14.03,-0.07,49.75
14.2,91.01,24.26
14.37,142.6,-32.88
14.54,168.23,-39.7
14.7,174.06,-78.49
14.86,173.74,-120.28
15.04,175.86,-123.43
15.21,177.26,-108.29
15.38,179.35,-75.74
15.55,180.68,-42.86
15.71,181.19,-18.1
15.88,181.26,0.9
16.04,181.22,13.27
16.21,180.43,18.02
16.38,180.29,24.11
16.53,180.14,28.73
16.7,180.22,34.53
16.75,180.36,36.98
16.93,180.32,41.42
17.1,180.4,44.72
17.27,180.54,46.35
17.44,180.76,45.95
