Time,Data1,Data2
0.01,0.0,0.0
0.15,0.9,-4.05
0.28,1.87,-10.86
0.43,0.76,-12.35
0.57,-2.52,-4.36
0.7,-4.1,3.32
0.86,-0.36,-1.92
1.01,4.68,-12.05
1.16,6.01,-19.37
1.3,1.19,-13.14
1.43,-4.14,-5.86
1.58,-7.24,2.28
1.72,-3.56,-0.61
1.85,3.17,-9.26
1.99,8.39,-18.1
2.13,7.63,-21.12
2.26,1.12,-14.95
2.39,-6.05,-7.77
2.53,-9.94,0.22
2.69,-4.68,-3.36
2.83,4.64,-12.63
2.98,10.91,-21.12
3.12,9.22,-23.58
3.25,0.79,-16.68
3.4,-8.6,-8.89
3.53,-12.38,-1.67
3.67,-6.73,-5.32
3.8,3.42,-13.73
3.94,11.66,-21.57
4.08,13.1,-27.85
4.22,4.0,-20.89
4.38,-8.5,-12.55
4.53,-14.47,-4.39
4.69,-7.42,-9.08
4.85,6.23,-19.03
4.99,14.83,-27.48
5.13,12.96,-29.32
5.28,1.33,-22.09
5.41,-10.19,-15.19
5.55,-16.13,-7.96
5.68,-10.84,-10.24
5.83,2.7,-19.35
5.96,13.82,-27.4
6.1,17.17,-34.86
6.26,6.23,-27.43
6.42,-9.54,-17.88
6.56,-18.47,-5.9
6.7,-13.97,-2.74
6.84,0.25,-10.81
6.98,15.48,-20.11
7.11,20.84,-27.86
7.26,11.92,-22.66
7.4,-5.0,-14.48
7.53,-18.43,-3.73
7.67,-22.54,11.22
7.8,-10.94,5.26
7.94,9.22,-6.39
8.09,25.31,-27.88
8.25,24.3,-49.67
8.39,2.84,-42.28
8.54,-23.4,-19.07
8.69,-37.91,25.15
8.82,-26.5,43.79
8.96,4.36,30.27
9.11,40.64,-13.68
9.26,51.77,-63.88
9.39,29.41,-67.24
9.53,-12.56,-46.72
9.67,-54.07,4.84
9.83,-65.45,57.49
9.98,-32.36,55.34
10.13,25.52,22.5
10.28,70.81,-35.1
10.42,80.06,-80.96
10.56,49.97,-75.74
10.7,-7.81,-48.0
10.84,-64.73,6.6
10.98,-93.49,62.63
11.12,-86.04,76.73
11.25,-44.64,58.32
11.4,26.1,12.8
11.54,85.61,-48.05
11.7,106.42,-86.54
11.84,89.1,-84.68
11.99,30.74,-63.58
12.13,-43.45,-12.63
12.26,-97.7,44.01
12.4,-120.42,75.75
12.55,-111.82,71.91
12.71,-59.58,65.88
12.87,26.82,28.57
13.02,97.99,-28.58
13.16,131.22,-71.07
13.29,141.37,-67.9
13.43,127.48,-67.5
13.56,86.9,-67.23
13.72,4.46,-45.23
13.86,-74.12,-20.43
14.01,-130.54,40.39
14.16,-155.88,56.27
14.31,-167.9,47.87
14.45,-174.42,24.47
14.49,-175.64,16.94
14.64,-179.57,-16.05
14.78,-181.15,-37.86
14.91,-181.22,-47.49
15.07,-181.12,-51.78
15.22,-181.12,-51.24
15.38,-181.04,-44.25
15.54,-180.43,-29.3
15.69,-179.71,-11.7
15.84,-179.24,4.57
15.98,-179.1,17.72
16.13,-179.21,27.57
16.28,-179.42,34.56
16.43,-179.6,40.65
16.56,-179.35,47.59
16.7,-179.35,52.14
16.85,-179.35,55.87
17.01,-179.17,58.66
17.16,-179.17,58.29
17.29,-179.03,56.88
17.43,-178.88,52.94
17.57,-179.1,44.64
17.71,-179.5,33.36
17.85,-179.93,21.15
17.98,-180.11,10.81
18.14,-180.5,-0.51
18.3,-180.14,-5.59
18.45,-179.96,-9.37
18.61,-180.0,-13.75
18.76,-180.11,-16.94
18.91,-180.22,-18.73
19.06,-180.36,-19.05
19.2,-180.54,-17.66
19.34,-180.72,-13.6
19.47,-180.32,-3.59
19.61,-179.89,8.25
19.75,-179.39,21.07
19.89,-179.39,30.57
20.03,-179.32,39.53
20.16,-179.32,46.85
20.3,-179.17,53.53
20.44,-179.35,57.05
20.58,-179.57,58.99
20.72,-179.6,61.56
20.87,-179.53,64.15
21.02,-179.35,66.72
21.16,-179.17,67.87
21.3,-178.92,67.82
21.45,-178.67,64.79
21.59,-178.78,56.94
21.73,-179.39,43.37
21.87,-179.89,29.42
22.01,-180.29,16.6
22.15,-180.4,5.98
22.3,-180.18,-0.05
22.45,-180.0,-4.87
22.61,-179.86,-8.96
22.76,-179.96,-13.49
22.9,-179.89,-16.28
23.05,-179.93,-18.91
23.19,-179.96,-20.62
23.34,-180.18,-22.22
23.48,-180.36,-22.08
23.63,-180.54,-19.95
23.78,-180.61,-14.31
23.92,-180.22,-3.75
24.06,-179.78,8.44
24.2,-179.39,20.97
24.33,-179.06,31.87
24.47,-179.35,37.94
24.61,-179.35,43.71
24.76,-179.57,47.81
24.9,-179.64,51.75
25.06,-179.28,57.89
25.21,-179.46,59.39
25.35,-179.32,61.36
25.5,-179.14,62.02
25.64,-178.99,60.47
25.78,-178.63,57.5
25.92,-179.1,47.28
26.06,-179.57,34.72
26.2,-179.89,22.53
26.33,-180.36,10.05
26.47,-180.18,2.74
26.62,-180.07,-3.86
26.77,-179.89,-8.8
26.9,-180.22,-14.79
27.06,-180.14,-18.02
27.21,-180.29,-20.46
27.37,-180.43,-20.99
27.53,-180.58,-18.76
27.68,-180.61,-13.14
27.81,-180.18,-2.71
27.95,-179.82,8.89
28.09,-179.28,22.03
28.23,-179.28,30.97
28.37,-179.39,37.83
28.51,-179.39,44.24
28.65,-179.5,48.35
28.79,-179.42,52.84
28.93,-179.39,55.84
28.97,-179.42,56.41
29.13,-179.46,57.98
29.28,-179.28,59.54
29.41,-179.06,59.95
29.55,-178.88,57.92
29.69,-178.78,53.05
29.83,-179.17,42.46
29.98,-179.71,28.73
30.14,-180.14,14.47
30.28,-180.47,3.08
30.42,-180.14,-2.13
30.57,-180.04,-7.21
30.72,-179.93,-11.14
30.86,-179.75,-14.04
30.99,-180.11,-19.29
31.13,-180.18,-21.95
31.27,-180.22,-23.1
31.4,-180.4,-23.33
31.56,-180.47,-20.43
31.71,-180.54,-14.61
31.85,-180.18,-4.42
31.99,-179.78,7.39
32.13,-179.42,19.61
32.26,-179.1,30.73
32.4,-179.35,36.9
32.54,-179.53,42.28
32.68,-179.53,47.68
32.83,-179.35,54.41
32.98,-179.46,57.79
33.13,-179.53,60.6
33.28,-179.5,62.84
33.42,-179.53,64.04
33.56,-179.46,65.16
33.71,-179.24,66.06
33.85,-178.99,65.45
33.99,-178.74,62.34
34.12,-178.88,54.41
34.28,-179.42,40.09
34.43,-179.93,25.51
34.58,-180.29,11.97
34.73,-180.14,3.09
34.88,-180.18,-4.92
35.01,-180.0,-9.66
35.15,-179.86,-13.83
35.3,-179.86,-18.68
35.46,-180.04,-23.62
35.61,-180.25,-27.3
35.77,-180.32,-28.71
35.91,-180.4,-28.05
36.05,-180.58,-25.64
36.19,-180.72,-20.22
36.33,-180.29,-8.76
36.46,-179.78,4.65
36.61,-179.32,18.99
36.76,-179.06,30.95
36.91,-179.21,38.69
37.05,-179.53,43.23
37.18,-179.53,48.92
37.33,-179.32,55.15
37.48,-179.24,59.52
37.62,-179.24,61.49
37.75,-179.17,62.52
37.91,-178.96,61.94
38.06,-178.78,58.56
38.22,-178.96,49.33
38.37,-179.42,35.97
38.51,-179.93,22.25
38.64,-180.29,9.55
38.78,-180.5,-0.64
38.92,-180.29,-6.41
39.07,-180.25,-11.62
39.23,-180.0,-14.37
39.37,-179.96,-16.74
39.51,-180.0,-18.51
39.65,-180.18,-20.08
39.8,-180.4,-20.32
39.95,-180.5,-17.62
40.08,-180.5,-12.24
40.22,-180.18,-2.72
40.36,-179.86,8.32
40.52,-179.46,21.87
40.67,-179.28,32.43
40.8,-179.35,39.93
40.94,-179.35,46.03
41.08,-179.57,49.72
41.22,-179.24,55.44
41.35,-179.24,58.29
41.5,-179.35,59.03
41.64,-179.14,59.57
41.78,-178.92,58.64
41.92,-178.85,53.83
42.08,-179.24,42.86
42.23,-179.75,30.33
42.38,-180.14,18.2
42.53,-180.14,9.58
42.67,-179.78,4.45
42.8,-179.93,-2.56
42.94,-179.96,-8.3
43.09,-180.14,-14.52
43.24,-180.14,-18.41
43.37,-180.14,-20.78
43.42,-180.14,-21.39
43.57,-180.18,-22.37
43.7,-180.32,-22.4
43.85,-180.58,-20.78
44.01,-180.68,-14.63
44.16,-180.11,-2.47
44.32,-179.68,11.33
44.47,-179.32,24.13
44.6,-179.06,34.24
44.75,-179.42,39.88
44.9,-179.35,46.88
45.04,-179.28,52.3
45.17,-179.32,55.56
45.31,-179.46,56.96
45.46,-179.53,57.87
45.6,-179.32,59.35
45.73,-179.21,59.11
45.87,-179.14,56.73
46.01,-178.96,52.63
46.15,-179.17,44.32
46.28,-179.39,34.51
46.43,-179.86,21.58
46.57,-180.25,9.85
46.71,-180.11,2.45
46.86,-180.22,-4.97
47.02,-180.11,-10.03
47.16,-180.0,-13.25
47.31,-180.07,-16.6
47.46,-180.14,-18.62
47.6,-180.22,-19.47
47.75,-180.4,-18.99
47.89,-180.61,-16.41
48.03,-180.36,-8.96
48.17,-180.0,1.07
48.32,-179.64,12.98
48.47,-179.5,23.55
48.61,-179.14,34.11
48.76,-179.39,39.91
48.91,-179.6,44.53
49.06,-179.42,50.76
49.2,-179.24,55.81
49.34,-179.28,58.19
49.49,-179.32,59.01
49.63,-179.03,59.57
49.77,-179.03,56.83
49.9,-178.88,52.15
50.04,-179.28,42.44
50.2,-179.6,29.9
50.34,-180.04,17.77
50.49,-180.5,5.59
50.64,-180.22,-0.4
50.78,-180.0,-4.77
50.94,-179.89,-9.07
51.09,-179.86,-12.39
51.23,-180.0,-16.02
51.36,-180.14,-18.52
51.5,-180.22,-19.74
51.64,-180.29,-19.64
51.8,-180.47,-17.58
51.94,-180.58,-13.09
52.1,-180.32,-2.88
52.24,-179.71,10.99
52.39,-179.14,24.79
52.54,-179.32,32.8
52.69,-179.5,39.17
52.83,-179.39,45.73
52.96,-179.5,50.33
53.1,-179.5,54.46
53.24,-179.42,58.26
53.38,-179.24,61.65
53.51,-179.21,62.95
53.67,-178.96,63.3
53.82,-178.88,59.95
53.97,-178.92,52.73
54.12,-179.39,40.15
54.25,-179.89,27.19
54.41,-180.32,13.36
54.56,-180.32,4.63
54.71,-180.04,-0.34
54.86,-179.82,-4.49
55.01,-179.82,-9.44
55.15,-179.96,-14.63
55.29,-179.93,-17.82
55.44,-179.86,-20.68
55.59,-180.0,-23.86
55.74,-180.18,-26.15
55.9,-180.47,-26.93
56.04,-180.65,-24.87
56.19,-180.79,-19.34
56.34,-180.29,-6.68
56.47,-179.68,6.38
56.61,-179.35,19.76
56.75,-179.06,30.83
56.9,-178.99,39.62
57.05,-179.35,43.85
57.2,-179.46,47.87
57.35,-179.5,51.29
57.48,-179.57,53.58
57.63,-179.57,56.01
57.76,-179.46,57.92
57.91,-179.21,59.75
57.94,-179.17,59.89
58.09,-178.92,59.38
58.2,-178.96,56.17
58.35,-178.96,49.4
58.47,-179.24,40.39
58.62,-179.71,27.14
58.73,-180.18,16.01
58.88,-180.32,5.37
59.0,-180.18,0.21
59.15,-179.93,-4.73
59.29,-179.93,-9.81
59.43,-179.82,-13.68
59.58,-179.89,-18.15
59.74,-179.89,-21.82
59.89,-180.11,-25.46
