0,-90,224,-0.000015
1,-90,1252,-0.000015
2,-90,2324,-0.000015
3,-90,3396,-0.000015
4,-90,12584,-0.000162
5,-90,24024,-0.000709
6,-90,35464,-0.001432
7,-90,46904,-0.002333
8,-90,58344,-0.003396
9,-90,69784,-0.004563
10,-90,81756,-0.005921
11,-90,93704,-0.007309
12,-90,105664,-0.008874
13,-90,118144,-0.010498
14,-90,130624,-0.012182
15,-90,143104,-0.013939
16,-90,155596,-0.015725
17,-90,168064,-0.017541
18,-90,180544,-0.019461
19,-90,193024,-0.021336
20,-90,205504,-0.023270
21,-90,217984,-0.025175
22,-90,230464,-0.027139
23,-90,242944,-0.029147
24,-90,255428,-0.031111
25,-90,267912,-0.033119
26,-90,280384,-0.035098
27,-90,292880,-0.037150
28,-90,305344,-0.039188
29,-90,317824,-0.041225
30,-90,330304,-0.043263
31,-90,342784,-0.045330
32,-90,355268,-0.047442
33,-90,367756,-0.049509
34,-90,380236,-0.051591
35,-90,392704,-0.053673
36,-90,405184,-0.055843
37,-90,417664,-0.057925
38,-90,430144,-0.060036
39,-90,442628,-0.062104
40,-90,455116,-0.064274
41,-90,467596,-0.066356
42,-90,480064,-0.068468
43,-90,492560,-0.070505
44,-90,505036,-0.072661
45,-90,517504,-0.074772
46,-90,529984,-0.076899
47,-90,542476,-0.079025
48,-90,554944,-0.081181
49,-90,567424,-0.083351
50,-90,579904,-0.085522
51,-90,592396,-0.087663
52,-90,604864,-0.089878
53,-90,617344,-0.092078
54,-90,629828,-0.094307
55,-90,642304,-0.096492
56,-90,654792,-0.098766
57,-90,667276,-0.100996
58,-90,679744,-0.103211
59,-90,692236,-0.105367
60,-90,704708,-0.107581
61,-90,717196,-0.109811
62,-90,729664,-0.112041
63,-90,742144,-0.114241
64,-90,754636,-0.116500
65,-90,767112,-0.118715
66,-90,779584,-0.120915
67,-90,792064,-0.123070
68,-90,804544,-0.125315
69,-90,817036,-0.127559
70,-90,829504,-0.129759
71,-90,841984,-0.131959
72,-90,854464,-0.134204
73,-90,866944,-0.136448
74,-90,879424,-0.138648
75,-90,891920,-0.140789
76,-90,904384,-0.142989
77,-90,916864,-0.145233
78,-90,929344,-0.147404
79,-90,941824,-0.149604
80,-90,954312,-0.151819
81,-90,966796,-0.154063
82,-90,979264,-0.156278
83,-90,991752,-0.158478
